product,avg_daily_units,std_daily_units,cv_percent
MODERN  CRUST PIZZA BASE 150g,3.0,2.8284271247461903,94.28090415820634
MODERN 100% WHOLE WHEAT BREAD 400G,1.9489795918367347,1.1786104782212943,60.47320778308212
MODERN BANANA PUDDING  CAKE 140g,1.1,0.4025778999364487,36.597990903313516
MODERN BURGER BUN,1.0,0.0,0.0
MODERN CHOCO CHEER CAKE 120g,1.7857142857142858,1.2145597060264701,68.01534353748232
MODERN FRUIT & NUT CAKE 140g,1.3863636363636365,0.5793303708998299,41.787764458348384
MODERN HI FIBER  BROWN BREAD 400g,1.4,0.6681143701449647,47.72245501035462
MODERN MILK PLUS BREAD 450g,1.816326530612245,1.0086935387743687,55.53481280892591
MODERN SANDWICH SUPREME BREAD 400g,1.5138888888888888,0.691865320191188,45.70119546217021
MODERN WOW PAV 200g,1.9090909090909092,1.0713203408538794,56.11677975901272
MODREN FRUITY BREAD 200G,1.4492753623188406,0.6759792871012693,46.64257080998758
MOONG DAL 500G,1.435897435897436,0.7133193596310905,49.67759826002238
MOONG DAL1kg,1.2962962962962963,0.6333388502463011,48.8575684475718
MOONG GREEN 500g,1.5542168674698795,0.7691143473009809,49.48565180308637
MOONGDAL RICE RAWA 500G AISHWARYA,1.0,,
MOUSAMBI,9.233571428571429,4.889628768615238,52.95490273119311
MOUSAMBI JUICE,1.8644067796610169,1.1057471669394514,59.3082571358433
MOZZARELLA CHEESE 200g MILKY MIST,1.04,0.19999999999999998,19.23076923076923
MUKHWAS TINIMINI KG FLYBERRY,0.12208333333333334,0.043437027549302225,35.57981778782435
MULAGAKU KARAM 100g VELLANKI FOODS,1.1818181818181819,0.40451991747794525,34.22860840197998
MULBERY BOX PACK ANAND,3.4444444444444446,1.056485502106686,30.6721597385812
MULTIGRAIN HEALTH MIX 500GMS SRI AHARYA,1.0,0.0,0.0
MUNAGAKU KARAM 250g AHA,1.0,0.0,0.0
MURUKULU 250g VELLANKI FOODS,2.0620689655172413,1.2921810247663765,62.664297187667096
MUSK MELON - H,8.455439560439562,4.632647128692063,54.78895680795608
MUSK MELON - LOCAL,3.5868181818181815,1.6679396653574514,46.501929587965954
MUSK MELON JUICE,1.8181818181818181,1.0404097420197682,57.22253581108725
MUSTARD BIG 200g,1.2340425531914894,0.5599986784707547,45.37920325538874
MUSTARD OIL 1Lt. MESMARA,1.1428571428571428,0.3779644730092272,33.071891388307385
MUSTARD SMALL 200g,1.1272727272727272,0.3875156128059232,34.37638500697706
MYSORE PAK 250g HARD VELLANKI FOODS,1.253968253968254,0.4741122083143489,37.80894825797972
Mango Juices,1.4,0.5477225575051661,39.123039821797576
Mango Milk Shake,1.0,,
Moosambi Economy,2.17,,
NAGPUR ORANGE,10.882,6.7604630566804165,62.12518890535211
NAGPUR ORANGE JUICE,1.894736842105263,0.9941348467724344,52.4682280241007
NALLA KARAM 100g VELLANKI FOODS,1.1666666666666667,0.408248290463863,34.99271061118826
NALLA KARAM 250g AHA,1.0,0.0,0.0
NANDA CREAM BUN VANILLA 60g,4.32258064516129,3.176865297471639,73.49464494150807
NANDA CRM BUN CHOCOLATE 60g,2.911764705882353,2.5150172848231085,86.37433099392494
NANDA CRM BUN PINEAPPLE 60g,2.84375,1.74336299035199,61.30507218820185
NANDA MUFFIN FRUIT 240g,1.891304347826087,1.0376953282167647,54.866649537897906
NANDA MUFFIN VANILLA 240g,2.425,1.7377778324261692,71.66094154334719
NANDA OSMANIA COOKIES 300g,2.5535714285714284,1.4883748655025522,58.286008718981066
NANDAS Mr BREADRY ZERO MAIDA 450g,1.5,0.7071067811865476,47.14045207910317
NARINJAAKAYA KG LOOSE,2.015,1.56270598642227,77.55364696884715
NATU DONDAKAI,4.062841530054645,2.012180658445415,49.526437188367304
NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,1.1818181818181819,0.5010810823432184,42.39916850596463
NATURAL COW GHEE 500ml JIVIKA ORGANICS,1.0,0.0,0.0
NATURAL CURD 450g SIDS FARM,5.862637362637362,2.7082500660488833,46.19508078921245
NATURAL ROCK SALT 1Kg JIVIKA ORGANICS,1.3934426229508197,0.8016376680394154,57.52929147106393
NATURAL THICK CURD  POUCH 400 GMS ID FRESH,1.7636363636363637,1.2904727293979774,73.17113414112242
NATURAL THICK CURD CUP 400g ID FRESH,1.1666666666666667,0.38924947208076144,33.36424046406526
NAVARATAN MIXTURE 250g VELLANKI FOODS,1.404040404040404,0.6533929017560118,46.53661674377351
NEELAM MANGO Kg LOOSE,6.713157894736842,4.589327743290769,68.36317296944306
NETHI BHERAKAI,2.0326190476190478,1.1703130437935565,57.576605176677255
NUTMEG 50G,1.1071428571428572,0.314970394174356,28.44893882865151
NUTRI+ WITH IMMUNITY BOOSTERS - 30 EGGS TRAY ABHI EGGS,1.3181818181818181,0.5612580251760543,42.578195013355845
NUTRI+ WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,1.6271186440677967,0.848899999893285,52.17197916010814
NUVULA KARAM FLYBERRY,0.06,,
NUVVULA CHIKKI 250g VELLANKI FOODS,1.7191011235955056,1.0111735311569225,58.81989821762491
NUVVUNDALU 250g VELLANKI FOODS,1.0985915492957747,0.30023465001632055,27.32905147584456
OKRA CHIPS VACUUM FRIED 20g FLYBERRY,1.3333333333333333,0.5773502691896257,43.30127018922193
OLIVE OIL 1LTR MESMARA,1.0,0.0,0.0
OMANI SEEDLESS 250g FLYBERRY,1.1666666666666667,0.3790490217894517,32.48991615338157
ONION,72.67180327868853,23.809223845747525,32.762671038231595
ONION WHITE,1.9634883720930234,1.6637033900607607,84.73202152388097
ORANGE DRAGES KG LOOSE FLYBERRY,0.12,,
ORANGE JUICE,1.0,,
ORGANIC CURD. 1KG TUB AKSHAYAKALPA,1.208955223880597,0.5086319569803804,42.072026071216655
ORGANIC GREEK YOGHURT NATURAL 100g AKSHAYAKALPA,1.4848484848484849,0.712443511849015,47.980889573505095
ORGANIC MALAI PANEER 200g AKSHAYAKALPA,1.9914529914529915,1.1024715689173787,55.36016032761086
ORGANIC- CHEESE SLICES AKSHAYAKALPA,1.125,0.3415650255319866,30.361335602843255
ORGANIC-PROBIOTIC CURD AKSHAYAKALPA,2.1755725190839694,1.2918735114942672,59.38085263359615
OUTSIDE YELLOW MELON Kg,4.255263157894737,2.8565503073823106,67.1298155105305
PALAK GREEN,9.96153005464481,3.1243817600180535,31.364476570155336
PALLI GROUND NUT KARAM 100g VELLANKI FOODS,1.0869565217391304,0.2881040655200304,26.505574027842794
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,2.0753424657534247,1.1631444683796395,56.045905077038725
PALLI PEANUT VUNDALU 250g VELLANKI FOODS,1.3015873015873016,0.5857149101441603,45.000047974490364
PANASA POTTU,1.3746478873239436,0.7956521691326385,57.880434434853825
PANDU MIRAPAKAI PICKLE 500g AHA,1.0,0.0,0.0
PANDUMIRAPAKAYA 250g PICKLE AHA,1.0833333333333333,0.28867513459481287,26.646935501059648
PANEER 200G HERITAGE,7.9491525423728815,4.45975843521398,56.10357093339549
PANEER 200G ID FRESH,2.2706766917293235,1.3207425571456528,58.16515235111649
PANEER 200g SINGLE BLOCK MILKY MIST,2.3728813559322033,1.551379921559174,65.37958240856518
PANEER 500G HERITAGE,2.8354430379746836,1.8780012396083052,66.23307943261435
PANEER 500g MILKY MIST,1.0434782608695652,0.20851441405707474,19.98263134713633
PAPPAYA,20.59120218579235,7.556093362211502,36.69573682018966
PAPPAYA JUICE,1.3478260869565217,0.5727680517510726,42.495694162176356
PARSLEY PACK,1.0,,
PARVAL,2.2278980891719744,1.2853952958023007,57.69542610811402
PASTEURISED BUTTER 100g AMUL,2.0638297872340425,1.292188156294332,62.61117870704496
PASUPU KOMMULU,0.2761764705882353,0.2090828608507284,75.70625419515193
PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,1.1111111111111112,0.3233808333817773,29.10427500435996
PERI PERI CASHEW FLYBERRY,0.165,0.07778174593052022,47.140452079103156
PERSIMMON FRUIT,0.725,0.6272843966541127,86.52198574539486
PGB SOYA CHUNKS 200G MEDIUM,1.2857142857142858,0.4688072309384954,36.46278462854964
PGB SOYA CHUNKS SMALL 200G,1.0,0.0,0.0
PHOOL MAKHANA 250g,1.0,,
PINE APPLE,3.9441340782122905,2.148217631702615,54.46614108707764
PINE APPLE JUICE,1.5555555555555556,0.9428090415820635,60.60915267313265
PINK LADY APPLE,4.025652173913043,2.5257555262259386,62.74152403412528
PISTA FLAVOURED MILK 200ML HERITAGE,2.3366336633663365,1.4985141155342667,64.1313244360004
PISTA GREEN SHELLED KG FLYBERRY,0.18107142857142858,0.21004483133091179,116.0010902813714
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,2.25531914893617,1.5584398747739003,69.10063595695595
PLAIN CUP PAPAD 200G EVR,1.0,0.0,0.0
PLUMS LOCAL BOX ANAND,2.272727272727273,1.202450600185906,52.90782640817986
POHA MEDIUM 500g,1.8928571428571428,1.0768417523425433,56.88975295394568
POKCHOY LEAF SAMBERRY,0.2219047619047619,0.06289825495346016,28.34470716786831
POMEGRANATE CANE,1.25,0.5,40.0
POMEGRANATE JUICE,1.3269230769230769,0.6174315504224038,46.53107336516667
POMEGRANATE SEEDS,1.375,0.7440238091428449,54.110822483115996
PONAGANTI KURA,0.7601418439716312,0.5303165979132558,69.7654789193591
POOJA GINGELLY OIL 1LTR,1.2222222222222223,0.4277926319464986,35.00121534107715
POOJA OIL 500ML,1.1666666666666667,0.3806934938134406,32.63087089829491
POOJA PATRI PACK,29.5,9.192388155425117,31.160637815000396
POPU SEEDS LOOSE,1.0,,
POTATO,54.3824043715847,16.08573167182652,29.5789269667368
POTATO CHIPS 200G EVR,1.1111111111111112,0.3333333333333333,30.0
PREMIUM FREEZE DIRED COFFEE 50gm JAR CONTINENTAL,1.0,0.0,0.0
PREMIUM MILK BREAD 400g SPENCERS AKSHAYA  FOODS,4.379888268156424,2.2637440372306994,51.68497227860909
PREMIUM SANDWICH BREAD 400g SPENCERS AKSHAYA FOODS ENGLISH RECIPE,1.6833333333333333,0.9476405430700275,56.29547780614025
PRM BROWN BREAD 400g MR BREADY NANDAS,1.3928571428571428,1.0306159867619522,73.99294263931965
PRM CHITTIMUTYALU RICE 1KG GAJANAN,1.25,0.5,40.0
PRM HMT RAW RICE 26KG BAG GAJANAN,1.0909090909090908,0.2942449431682499,26.97245312375624
PRM HMT RICE 26KG BAG GAJANAN,1.0,0.0,0.0
PROSO MILLET VARIGALU 500g,1.25,0.7163503994113789,57.30803195291031
PUDHINA,3.041530054644809,1.5928679842662883,52.37061464619668
PULIHORA PASTE 250G VELLANKI FOODS,1.3529411764705883,0.701888209634219,51.87869375557271
