product,cost_proxy,avg_unit_price,total_revenue,total_quantity,margin_estimate_percent,gap_to_20_percent
ARTISANAL CURD 400g EPIGAMIA,100.0,100.0,300.0,3.0,0.0,20.0
ARTISANAL ORGANIC SET CURD 400g AKSHAYAKALPA,80.0,80.0,3760.0,47.0,0.0,20.0
ASH GOURD,37.0,39.6838418079096,59776.4,1520.11,6.763059435880199,13.236940564119802
ASH GOURD JUICE,40.0,40.0,80.0,2.0,0.0,20.0
ASL  IDLY & DOSA BATTER  1KG,95.0,95.0,95.0,1.0,0.0,20.0
ASPARAGUS KG SAMBERRY,124.60000000000001,311.5,249.2,1.3800000000000001,60.0,0.0
AVOCADO IMP SAMBERRY,296.0,397.0155801104973,132425.83,334.06,25.443731977063134,0.0
AVOCADO JUICE,100.0,100.0,200.0,2.0,0.0,20.0
AVOCADO LOCAL,209.0,231.9487142857143,13517.87,59.01,9.893874323203221,10.106125676796779
Akshayakalpa Organic Ghee 490ml,789.0,792.3333333333334,10307.0,13.0,0.4206983592764036,19.579301640723596
Alubukhar LOOSE KG FLYBERRY,790.0,788.0,2653.4,3.35,-0.25380710659898476,20.253807106598984
Apple Milk Shake,100.0,100.0,700.0,7.0,0.0,20.0
BABY CORN PEELED,39.0,39.0,22932.0,588.0,0.0,20.0
BABY CORN PEELED SAMBERRY,190.0,190.0,506.91999999999996,2.67,0.0,20.0
BABY ORANGE,238.0,271.00879781420764,357851.54,1302.95,12.179972783332701,7.820027216667299
BABY POTATO,47.862,51.185878378378376,25345.3,499.22,6.4937410154563775,13.506258984543623
BACHALAKURA,64.0,67.72224719101123,27139.46,398.01,5.496343292496779,14.503656707503222
BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE,30.0,30.0,18420.0,614.0,0.0,20.0
BAILLEY  WATER 1LTR,20.0,19.902439024390244,1234.0,62.0,-0.490196078431373,20.490196078431374
BAILLEY WATER  500ML,10.0,9.875833333333333,1746.1,178.0,-1.2572778668466873,21.25727786684669
BAJRA FLOUR 500G,45.0,46.241379310344826,1843.0,40.0,2.6845637583892574,17.315436241610744
BAMBINO ROASTED VERMICELI 500G,70.0,70.0,420.0,6.0,0.0,20.0
BAMBINO ROASTED VERMICELLI 800G,117.0,117.0,702.0,6.0,0.0,20.0
BAMBINO VERMICELLI 500GM,53.0,53.0,318.0,6.0,0.0,20.0
BANANA CASHEWNUT LOAF 350g KALSAN FOODS,150.0,150.0,3750.0,25.0,0.0,20.0
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,150.0,150.0,115200.0,768.0,0.0,20.0
BANANA FLOWER,26.0,26.0,3042.0,117.0,0.0,20.0
BANANA LEAF,5.0,5.0,500.0,100.0,0.0,20.0
BANANA TREE,59.0,59.0,472.0,8.0,0.0,20.0
BANANAJUICE,50.0,50.0,1150.0,23.0,0.0,20.0
BANANAS 30g FLYBERRY GOURMET,49.0,49.0,2548.0,52.0,0.0,20.0
BANDARU HALWA 250g VELLANKI FOODS,170.0,170.90277777777777,14355.0,84.0,0.5282405526208822,19.471759447379117
BANGINAPALLI MANGO LOOSE KGS,109.9,157.6916535433071,670243.84,4545.75,30.307027968466322,0.0
BARNYARD MILLET UDALU 500G,80.0,81.11111111111111,1700.0,21.0,1.369863013698634,18.630136986301366
