product,total_revenue,abc_class
BELLAM SUNNIVUNDALU 250g VELLANKI FOODS,14550.0,C
ALPHONSO MANGO PC RATNAGIRI,14541.0,C
ENG ITEM COLOUR CABBAGE SAMBERRY,14381.61,C
BANDARU HALWA 250g VELLANKI FOODS,14355.0,C
TAPESWARAM KAJA 250g VELLANKI FOODS,14340.0,C
SPICY ALOO CHIPS 100g VELLANKI FOODS,14325.0,C
SAMBAR  ONION,14163.039999999999,C
VELLANKI JONNA MURKULU 250G,13975.0,C
LAL MICHI WITHOUT STEM 200G EVR,13840.0,C
KABULI CHANA 500g,13794.0,C
VELLANKI MILLET MIXTURE 250g,13769.5,C
AVOCADO LOCAL,13517.87,C
GROUND NUT OIL 1Lt. COLD PRESSED MESMARA,13440.0,C
KIMJO KIMIA DATES 400g ELEPHANT,13392.79,C
AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,13300.0,C
WHEAT PAROTA 5PC 400G ID FRESH,13287.5,C
MULBERY BOX PACK ANAND,13020.0,C
CHOUSA MANGO KG LOOSE,13006.95,C
VELLANKI MULTI SEEDS CHIKI 250g,12880.0,C
CASHEW TIKKA FLAVOUR FLYBERRY,12682.8,C
DRIED CRANBERRY WHOLE KG FLYBERRY,12562.0,C
ORGANIC CURD. 1KG TUB AKSHAYAKALPA,12555.0,C
POMEGRANATE JUICE,12420.0,C
PALLI PEANUT VUNDALU 250g VELLANKI FOODS,12400.0,C
NUVVUNDALU 250g VELLANKI FOODS,12280.0,C
JACK FRUIT SEEDS ANAND,12180.0,C
SUNFLOWER SEEDS KG FLYBERRY,12082.1,C
FREEDOM SUNFLOWER OIL PET 1LT,12080.0,C
AASHIRVAAD ATTA 1KG,12058.0,C
VELLANKI VAM MURKULU 250g,12057.6,C
VELLANKI HEALTHY LADDU 250G,12010.0,C
SUGAR 1 KG,11764.0,C
chinna menthi,11743.22,C
Kashmir Comb Honey 500g BT,11700.0,C
MYSORE PAK 250g HARD VELLANKI FOODS,11625.0,C
VELLANKI MILLET MURKULU 250g,11585.0,C
POHA MEDIUM 500g,11552.25,C
AK ORGANIC HIGH PROTEIN PANEER 200g,11520.0,C
FREEDOM SUNFLOWER OIL PET 2LT,11375.99,C
WORKOUT TRAIL MIX KG FLYBERRY,11347.2,C
MOONG GREEN 500g,11338.94,C
BESAN 500g,11336.5,C
TAMARIND 500g,11245.0,C
MOONG DAL1kg,11200.0,C
FLYBERRY STRAWBERRY DEHYDRATED REGULAR,11113.6,C
SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS,11040.0,C
KURNOOL MURMURA 500g,10948.0,C
BELLAM KOMMULU 250g VELLANKI FOODS,10845.0,C
IDLY RAVA1KG,10799.75,C
JAGGERY KESAR 900G,10681.0,C
MILLET MOONG MIX 250g VELLANKI,10650.0,C
GREEK YOGURT BLUEBERRY 90g EPIGAMIA,10620.0,C
MODERN 100% WHOLE WHEAT BREAD 400G,10450.0,C
Akshayakalpa Organic Ghee 490ml,10307.0,C
CHEESE SLICES 200g AMUL 10PC PACK,10199.57,C
VITAMIN D3  WITH IMMUNITY BOOSTERS - 6 EGGS PACK  ABHI EGGS,10152.0,C
NANDA OSMANIA COOKIES 300g,10148.64,C
KOVA KAJJIKAYALU 250g VELLANKI FOODS,10040.0,C
DESI COW GHEE 500ml JIVIKA ORGANICS,9990.0,C
GREEN PEAS SEED PAC,9988.7,C
GREEK YOGURT NATURAL 90g EPIGAMIA,9975.0,C
SHAH JEERA 50g,9960.0,C
MOUSAMBI JUICE,9900.0,C
FLYBERRY MINI MEDJOUL DATES 200g BOX,9876.0,C
MILK SHAKE STRAWBERRY 180ml EPIGAMIA,9866.0,C
PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,9800.0,C
MODERN MILK PLUS BREAD 450g,9790.0,C
WHEAT RAWA MEDIUM 500g,9720.0,C
JAVATRI 50g,9720.0,C
LAL MIRCHI WITH STEM 200G EVR,9712.0,C
MILK SHAKE CHOCOLATE 220ML MILKY MIST,9691.2,C
NATURAL ROCK SALT 1Kg JIVIKA ORGANICS,9680.0,C
GREEK YOGURT 85g  ALPHONSO MANGO  EPIGAMIA,9660.0,C
KHUS KHUS 50G,9565.0,C
SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,9450.0,C
CHIA SEEDS KGS FLYBERRY,9326.2,C
ZUCCHINI YELLOW ENGLISH ITEM SAMBERRY,9121.460000000001,C
BOMBAY RAWA1Kg,9031.75,C
FlyberryMelonSeeds,9004.0,C
MOONG DAL 500G,8960.0,C
ZUCCHIINI GREEN ENGLISH ITEM SAMBERRY,8914.9,C
AKSHAYA MULTI FLORAL RAW HOENY 250g,8880.0,C
GAJANAN TELANGANA SONA RICE 5Kg,8820.0,C
APRICOTS ORANGE TURKISH KG FLYBERRY,8816.85,C
VELLANKI  PESARA MURKULU 250G,8670.0,C
CHEESE SLICE 100G MILKY MIST,8664.47,C
JAGGERY KESAR 450G,8600.0,C
CHEESE SLICES 200g MILKYMIST,8514.0,C
SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA,8430.0,C
GINGER GARLIC PASTE 250G VELLANKI FOODS,8370.0,C
GREEK YOGURT STRAWBERRY 85g EPIGAMIA,8340.0,C
WATERMELON JUICE,8250.0,C
PRM HMT RICE 26KG BAG GAJANAN,8210.0,C
SUNFLOWER OIL 1LT COLD PRESSED MESMARA,8145.0,C
RAGI FLOUR 500G,8124.0,C
Raw Forest Honey 500g BT,8118.0,C
GAJANAN ORANGE PRM HMT RICE 5Kg,8085.0,C
NUTRI+ WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,8064.0,C
SPECIAL LONG LIFE COW MILK 180ML HERITAGE,7878.39,C
FRIED GRAM PUTANA 250g,7827.75,C
DRY COCONUT 250G EVR,7820.0,C
IMP Orange Juices,7800.0,C
SONA MASURI TELANGANA STEAM RICE 26KG GAJANAN,7750.0,C
INDIAN RAISINSGOLDEN KGS FLYBERRY,7728.0,C
JUJUBIES FLYBERRY,7689.14,C
PANEER 500g MILKY MIST,7660.0,C
MANGO PICKLE 250G VELLANKI FOODS,7555.0,C
PONAGANTI KURA,7518.32,C
CHANA DAL 500g,7445.0,C
GREEK YOGURT WILD RASBERRY 85g EPIGAMIA,7409.99,C
STRAWBERRY FLAVOURED MILK 180ML HERITAGE,7336.0,C
DISCO PUMPKIN,7251.85,C
TABLE BUTTER 100g HERITAGE,7228.0,C
JAGGERY POWDER 500g JIVIKA ORGANICS,7220.0,C
NANDA MUFFIN VANILLA 240g,7187.0,C
GAJANAN ORANGE PRM HMT RAW RICE 5Kg,7140.0,C
PISTA FLAVOURED MILK 200ML HERITAGE,7080.0,C
DALCHINI 50g,7080.0,C
BROWN CHANA 500g,7020.0,C
CORIANDER 200g,6945.0,C
PINE APPLE JUICE,6900.0,C
GREEK YOGURT ALPHONSO MANGO SMOOTHIE 180ml EPIGAMIA,6880.0,C
JIVIKA RED CHILLI POWDER 200GMS,6800.0,C
PASUPU KOMMULU,6793.03,C
AFGHANI RAISINS KGS FLYBERRY,6628.14,C
L G HING 50g,6603.0,C
BLACK PEPPER WHOLE 50G,6600.0,C
GINGER PICKLE 250G VELLANKI FOODS,6530.0,C
VELLANKI MILLET BOONDI ACTHU 250g,6530.0,C
CURD CUP 200G HERITAGE,6525.0,C
MINI MEDJOUL FLYBERRY loose kgs,6517.84,C
RICE FLOUR 500G,6495.0,C
SOYA CHUNKS MEDIUM 200G EVR,6485.0,C
OUTSIDE YELLOW MELON Kg,6451.6,C
NANDA MUFFIN FRUIT 240g,6427.25,C
CHOCOLATE MILK SHAKE 180ML HERITAGE,6424.0,C
CHEESE SLICES 100g AMUL 5PC PACK,6415.0,C
AASHIRVAD MULITGRAIN ATTA 1KG,6391.0,C
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,6330.0,C
PANASA POTTU,6240.0,C
VELLANKI AVISELA  CHIKKI 250G,6240.0,C
CLOVES 50g,6210.0,C
RICE RAVA IDLY BATTER 1KG ID FRESH,6175.0,C
COOKING BUTTER 100G MILKY MIST,6141.75,C
DOSE WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,6000.0,C
GREEK YOGURT BLUEBERRY SMOOTHIE 180ml EPIGAMIA,6000.0,C
FRUIT N NUT 150g DARK CHOCOLATE AMUL,5980.0,C
AASHIRVAD SELECT ATTA 1KG,5976.0,C
PASTEURISED BUTTER 100g AMUL,5954.0,C
POOJA GINGELLY OIL 1LTR,5940.0,C
Banana Stem,5916.0,C
MODERN SANDWICH SUPREME BREAD 400g,5830.0,C
MILK SHAKE STRAWBERRY 180ML MILKY MIST,5788.0,C
RED CHERRY FLYBERRY,5771.13,C
COOKING UNSALTED BUTTER 500g MILKY MIST,5680.0,C
KARAN PHOOL 50g,5610.0,C
GREEN PEAS BATANI 500G EVR,5610.0,C
PREMIUM SANDWICH BREAD 400g SPENCERS AKSHAYA FOODS ENGLISH RECIPE,5555.0,C
Raw Forest Honey 1000g BT,5544.0,C
BROWN EGGS 6PC UPF HEALTHY U N V,5544.0,C
COW GHEE 200ml JAR AMUL HIGH AROMA,5432.8,C
ENG ITEM CHINESE CABBAGE SAMBERRY,5339.01,C
MODERN HI FIBER  BROWN BREAD 400g,5335.0,C
KARAM GAVVALU 250G VELLANKI FOODS,5335.0,C
CHANA DAL 250g VELLANKI FOODS,5250.0,C
SOYA CHUNKS SMALL 200G EVR,5247.9,C
THREE MANGO MIRCHI  PWD 500G,5232.0,C
OMANI SEEDLESS 250g FLYBERRY,5211.0,C
BUTTER GARLIC N HERBS 100g AMUL,5209.1,C
GREEK YOGURT STRAWBERRY SMOOTHIE 180ml EPIGAMIA,5200.0,C
Tulsi Infused Honey 250g BT,5184.0,C
MUSK MELON - LOCAL,5133.32,C
COOKING BUTTER 500g HERITAGE,5120.0,C
LAKSHMAN FRUIT ANAND,5111.97,C
WHITE LOBIYA 500g,5035.0,C
URAD DAL UNPOLISHED 500g,4950.0,C
FLYBERRY KNOCKOUT KALMI DATES 400g,4939.0,C
RED RAJMA 500g,4900.0,C
FRUIT YOGHURT BB 100g MILKYMIST,4830.0,C
MUSTARD OIL 1Lt. MESMARA,4792.0,C
TIL 100G,4755.0,C
BROWN RICE 5kg,4740.0,C
CHAT MURMURA 500 GM,4680.0,C
NATURAL THICK CURD  POUCH 400 GMS ID FRESH,4642.0,C
GREEK YOGURT VANILLA BEAN 90g EPIGAMIA,4620.0,C
FRUIT YOGURT 75g STRAWBERRY EPIGAMIA,4515.0,C
AKSHAYA KALPA ORGANIC COW GHEE 195ml,4498.0,C
JOWAR FLOUR 500g,4450.0,C
TABLE BUTTER CHIPLITE MILKY MIST,4437.54,C
TATA SALT 1KG,4378.5,C
MODERN CHOCO CHEER CAKE 120g,4375.0,C
MOZZARELLA CHEESE 200g MILKY MIST,4370.0,C
MASOOR DAL 500g,4360.0,C
SET CURD 400g MILKY MIST,4355.0,C
BROWN RICE HMT 1kg,4335.0,C
CHERRY TOMATO KG RED SAMBERRY,4324.5,C
FRESH CREAM 250ml UHT MILKY MIST,4320.0,C
PERSIMMON FRUIT,4298.29,C
AASHIRVAD ATTA 2KG,4290.0,C
RED LOBIYA 500g,4270.0,C
AJWAIN 100g,4270.0,C
CONTINENTAL XTRA INSTANT SOUTH BLEND COFFEE 150g POUCH,4258.0,C
KARAM SAKINALU 250g  VELLANKI FOODS,4245.0,C
SOAN PATTI 250g VELLANKI FOODS,4245.0,C
ALMOND DRAGES KG LOOSE FLYBERRY,4235.78,C
YOGHURT STRAWBERRY MILKYMIST,4230.0,C
THUMS UP 250ML,4220.0,C
CHEESE BLOCK 200G HERITAGE,4217.0,C
MILK CHOCOLATE SMOOTH N CREAMY 150g AMUL,4160.0,C
CHANA DAL 1Kg,4113.0,C
SABUDANA 250g,4110.0,C
CARROT JUICE,4060.0,C
INSIDE YELLOW MELON Kg,4048.74,C
NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,4030.0,C
SUGAR FREE DARK CHOCOLATE 150g AMUL,4000.0,C
MUSK MELON JUICE,4000.0,C
YOGHURT  MANGO MILKYMIST,3990.0,C
VAAKKAI,3978.69,C
SUGAR 2 KG,3960.0,C
Raw Neem Honey 500g BT,3960.0,C
MISHTI DAHI 80g  EPIGAMIA,3920.0,C
POOJA OIL 500ML,3892.0,C
SINGLE POLISH RICE 1Kg,3840.0,C
ONION WHITE,3798.56,C
Raw Jamun Honey 1000g BT,3780.0,C
ARTISANAL ORGANIC SET CURD 400g AKSHAYAKALPA,3760.0,C
BANANA CASHEWNUT LOAF 350g KALSAN FOODS,3750.0,C
PROSO MILLET VARIGALU 500g,3750.0,C
DARK CHOCOLATE 150g BEST WISHES AMUL,3736.0,C
FlyberryMacadamia,3729.0,C
BUTTER SCHOOL PACK 100g AMUL,3710.0,C
MODERN FRUIT & NUT CAKE 140g,3660.0,C
INDIAN RAISINS GREEN FLYBERRY,3633.6,C
COOKING BUTTER 200G HERITAGE,3630.0,C
FRUIT YOGURT 75g ALPHONSO MANGO EPIGAMIA,3605.0,C
TOP MILLET ANDU KORRALU 500G,3600.0,C
Ginger Imbued Honey 250g BT,3600.0,C
BOMBAY RAWA 500g,3575.0,C
SRI LALITHA HMT RICE 10KG,3560.0,C
PLUMS LOCAL BOX ANAND,3554.0,C
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,3520.0,C
DEHYDRATED MANGO KG FLYBERRY,3502.5,C
HULLED WHITE SESAME OIL 1Lt. MESMARA,3500.0,C
KINLEY SODA 750ML,3460.0,C
JEERA 100g,3380.0,C
BUTTER UNSALTED 500G AMUL,3349.0,C
JAGGERY MINI CUBES 500G EVR,3335.0,C
COOKING BUTTER UNSALTED 200g MILKY MIST,3334.0,C
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,3320.0,C
RICE RAWA 500g,3320.0,C
DRY CHURRA KG FLYBERRY,3309.9,C
MILK SHAKE VANILA 180ml EPIGAMIA,3280.0,C
METHI 100G,3275.0,C
UHT BUTTER MILK 180ML MILKY MIST,3260.0,C
GEMS KG FLYBERRY,3252.0,C
RAGULU 500g,3240.0,C
Ginger Imbued Honey 500g BT,3240.0,C
SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA,3240.0,C
Vakai Box,3200.0,C
JIVIKA RED CHILLI POWDER 500GMS,3192.0,C
SABJA SEEDS KG FLYBERRY,3184.2400000000002,C
FlyberryHazelnut,3176.8,C
Raw Jamun Honey 500g BT,3168.0,C
FRUIT BASKET 350 RAJU,3150.0,C
FRESH CREAM 250ML AMUL,3101.0,C
NAGPUR ORANGE JUICE,3090.0,C
JIVIKA FOREST HONEY250ml,3080.0,C
GAJANAN TELANGANA SONA RICE 1Kg,3075.0,C
XTRA 50gm POUCH  CONTINENTAL,3064.8,C
KASURIMETHI 50G,3056.0,C
AMUL BUTTER 500G SALTED,3050.0,C
BANANA FLOWER,3042.0,C
AMUL DARK CHOCOLATE 125G,3037.9,C
YOGHURT PEACH 100GM MILKYMIST,3030.0,C
Raw Neem Honey 1000g BT,3024.0,C
LOW GI RICE 5KG AISHWARYA,3000.0,C
MODREN FRUITY BREAD 200G,3000.0,C
RED BULL CAN 250ml,3000.0,C
CHOCOLATE 150G HBD PACK AMUL,3000.0,C
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,3000.0,C
OLIVE OIL 1LTR MESMARA,2997.0,C
NATURAL COW GHEE 500ml JIVIKA ORGANICS,2994.0,C
FLYBERRY KNOCKOUT KALMI DATES 200g,2988.0,C
ORGANIC GREEK YOGHURT NATURAL 100g AKSHAYAKALPA,2940.0,C
CARROT N BEETROOT JUICE,2940.0,C
MUSTARD SMALL 200g,2916.0,C
GONGURA PICKLE 250g VELLANKI FOODS,2915.0,C
VIRGIN COCONUT OIL 200ml AKSHAYA KALPA,2890.0,C
GAJANAN ORANGE PRM HMT RAW RICE 1Kg,2890.0,C
VELLANKI KAKARAKAYA CHIPS 150G,2880.0,C
chintakayalu,2862.24,C
