product,sales_velocity,turnover_proxy,total_quantity,total_revenue
BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE,3.3736263736263736,1231.3736263736264,614.0,18420.0
BAILLEY  WATER 1LTR,0.34065934065934067,124.34065934065934,62.0,1234.0
BAILLEY WATER  500ML,0.967032967032967,352.967032967033,176.0,1746.1
BAJRA FLOUR 500G,0.22099447513812154,80.66298342541437,40.0,1843.0
BAMBINO ROASTED VERMICELI 500G,0.375,136.875,6.0,420.0
BAMBINO ROASTED VERMICELLI 800G,0.2608695652173913,95.21739130434783,6.0,702.0
BAMBINO VERMICELLI 500GM,0.4,146.0,6.0,318.0
BANANA CASHEWNUT LOAF 350g KALSAN FOODS,0.1592356687898089,58.12101910828025,25.0,3750.0
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,4.2430939226519335,1548.7292817679556,768.0,115200.0
BANANA FLOWER,0.6464088397790055,235.939226519337,117.0,3042.0
BANANA LEAF,4.761904761904762,1738.095238095238,100.0,500.0
BANANA TREE,4.0,1460.0,8.0,472.0
BANANAJUICE,0.1597222222222222,58.29861111111111,23.0,1150.0
BANANAS 30g FLYBERRY GOURMET,0.3880597014925373,141.6417910447761,52.0,2548.0
BANDARU HALWA 250g VELLANKI FOODS,0.48554913294797686,177.22543352601156,84.0,14355.0
BANGINAPALLI MANGO LOOSE KGS,35.79330708661417,13064.557086614172,4545.75,670243.84
BARNYARD MILLET UDALU 500G,0.14383561643835616,52.5,21.0,1700.0
BASIL LEAF KG ENGLISH ITEM SAMBERRY,0.015284090909090909,5.578693181818181,2.69,788.98
BASMATHI RICE 1KG,0.6685082872928176,244.00552486187843,121.0,16940.0
BAT PAPAD 200G EVR,0.07518796992481203,27.44360902255639,10.0,478.4
BEAUTY PEARS,3.9116939890710385,1427.768306010929,715.84,273667.21
BEET ROOT,14.242295081967214,5198.437704918033,2606.34,104431.36
BELGIAN CHOCOLATE 125g AMUL,0.096,35.04,12.0,2142.0
BELLAM KOMMULU 250g VELLANKI FOODS,0.44886363636363635,163.83522727272728,79.0,10845.0
BELLAM SUNNIVUNDALU 250g VELLANKI FOODS,0.4748603351955307,173.3240223463687,85.0,14550.0
BESAN 500g,0.9157303370786517,334.2415730337079,163.0,11336.5
BIG BRINJAL BLUE,1.983932584269663,724.1353932584269,353.14,20074.45
BIRYANI LEAFS 50G,0.46111111111111114,168.30555555555557,83.0,2075.0
BITTER CHOCOLATE 150g 90% BITTER AMUL,0.2857142857142857,104.28571428571428,10.0,2000.0
BITTER CHOCOLATE 150g AMUL,0.06741573033707865,24.60674157303371,12.0,2380.0
BITTER GAURD KARAM PODI 100g VELLANKI FOODS,0.034482758620689655,12.586206896551724,6.0,388.0
BITTER GOURD,3.9447540983606557,1439.8352459016394,721.89,42064.89
BITTER GUARD PICKLE 250G VELLANKI FOODS,0.013793103448275862,5.0344827586206895,2.0,230.0
BLACK GRAPES,1.259455782312925,459.70136054421766,185.14,24874.17
BLACK PEPPER WHOLE 50G,0.5,182.5,88.0,6600.0
BLACK ROUND BRINJAL,4.691803278688525,1712.5081967213116,858.6,43584.51
BLACK SEEDED GRAPES,0.9103448275862069,332.2758620689655,158.4,36073.39
BLUE BERRY,4.19672131147541,1531.8032786885246,768.0,229863.0
BOMBAY RAWA 500g,0.5397727272727273,197.01704545454547,95.0,3575.0
BOMBAY RAWA1Kg,0.776536312849162,283.43575418994413,139.0,9031.75
BOONDI 250g VELLANKI FOODS,1.2486187845303867,455.74585635359114,226.0,32914.0
BOONDI LADDU 250g VELLANKI FOODS,1.4134078212290502,515.8938547486033,253.0,39465.0
BOONDI MITAI ATCHU 250g VELLANKI FOODS,0.9550561797752809,348.59550561797755,170.0,25870.0
BOORELU 250g VELLANKI FOODS,0.574585635359116,209.72375690607734,104.0,15735.0
BOTTLE GOURD,35.885245901639344,13098.11475409836,6567.0,242595.43
BRINTAN TOFU PANEER 200G,1.0,365.0,1.0,69.0
BRITANNIA MILK BIKIS 71GM,1.0,365.0,1.0,10.0
BROWN ANJEER BOX TURKEY,2.5118110236220472,916.8110236220473,319.0,41151.0
BROWN CHANA 500g,0.5934065934065934,216.5934065934066,108.0,7020.0
