product,unit_price,estimated_margin,total_revenue,quantity_sold,revenue_weight
AVOCADO IMP SAMBERRY,397.0155801104973,0.30000000000000004,132425.83,334.06,0.005214882786423672
AVOCADO JUICE,100.0,0.3,200.0,2.0,7.87592992458295e-06
AVOCADO LOCAL,231.9487142857143,0.3000000000000001,13517.87,59.01,0.0005323289842481106
Akshayakalpa Organic Ghee 490ml,792.3333333333334,0.30000000000000004,10307.0,13.0,0.00040588604866338235
Alubukhar LOOSE KG FLYBERRY,788.0,0.3,2653.4,3.35,0.000104489962309442
Apple Milk Shake,100.0,0.3,700.0,7.0,2.7565754736040325e-05
BABY CORN PEELED,39.0,0.3000000000000001,22932.0,588.0,0.000903054125152681
BABY CORN PEELED SAMBERRY,190.0,0.3,506.91999999999996,2.67,1.9962331986847944e-05
BABY ORANGE,271.00879781420764,0.30000000000000004,357851.54,1302.95,0.014092068262220462
BABY POTATO,51.185878378378376,0.30000000000000004,25345.3,499.22,0.0009980890335876613
BACHALAKURA,67.72224719101123,0.30000000000000004,27139.46,398.01,0.00106874242575511
BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE,30.0,0.3,18420.0,614.0,0.0007253731460540897
BAILLEY  WATER 1LTR,19.902439024390244,0.3,1234.0,62.0,4.85944876346768e-05
BAILLEY WATER  500ML,9.875833333333333,0.3,1746.1,176.0,6.876080620657144e-05
BAJRA FLOUR 500G,46.241379310344826,0.30000000000000004,1843.0,40.0,7.257669425503189e-05
BAMBINO ROASTED VERMICELI 500G,70.0,0.3,420.0,6.0,1.6539452841624197e-05
BAMBINO ROASTED VERMICELLI 800G,117.0,0.3000000000000001,702.0,6.0,2.7644514035286154e-05
BAMBINO VERMICELLI 500GM,53.0,0.3000000000000001,318.0,6.0,1.252272858008689e-05
BANANA CASHEWNUT LOAF 350g KALSAN FOODS,150.0,0.3,3750.0,25.0,0.0001476736860859303
BANANA CHOCOCHIP LOAF 350g KALSAN FOODS,150.0,0.3,115200.0,768.0,0.004536535636559779
BANANA FLOWER,26.0,0.30000000000000004,3042.0,117.0,0.00011979289415290667
BANANA LEAF,5.0,0.3,500.0,100.0,1.9689824811457375e-05
BANANA TREE,59.0,0.30000000000000004,472.0,8.0,1.8587194622015762e-05
BANANAJUICE,50.0,0.3,1150.0,23.0,4.528659706635196e-05
BANANAS 30g FLYBERRY GOURMET,49.0,0.30000000000000004,2548.0,52.0,0.00010033934723918679
BANDARU HALWA 250g VELLANKI FOODS,170.90277777777777,0.3000000000000001,14355.0,84.0,0.0005652948703369412
BANGINAPALLI MANGO LOOSE KGS,157.6916535433071,0.30000000000000004,670243.84,4545.75,0.026393967581116933
BARNYARD MILLET UDALU 500G,81.11111111111111,0.3,1700.0,21.0,6.694540435895507e-05
BASIL LEAF KG ENGLISH ITEM SAMBERRY,295.34375,0.30000000000000004,788.98,2.69,3.106975595948728e-05
BASMATHI RICE 1KG,140.0,0.3,16940.0,121.0,0.0006670912646121759
BAT PAPAD 200G EVR,49.68888888888889,0.30000000000000004,478.4,10.0,1.8839224379602416e-05
BEAUTY PEARS,375.0475824175824,0.30000000000000004,273667.21,715.84,0.010776918843080633
BEET ROOT,39.98530054644809,0.30000000000000004,104431.36,2606.34,0.004112470366444475
BELGIAN CHOCOLATE 125g AMUL,178.2,0.3000000000000001,2142.0,12.0,8.435120949228339e-05
BELLAM KOMMULU 250g VELLANKI FOODS,137.06349206349208,0.3,10845.0,79.0,0.00042707230016051045
BELLAM SUNNIVUNDALU 250g VELLANKI FOODS,171.28571428571428,0.3000000000000001,14550.0,85.0,0.0005729739020134097
BESAN 500g,69.98118279569893,0.3,11336.5,163.0,0.0004464273979501731
BIG BRINJAL BLUE,56.461357142857146,0.30000000000000004,20074.45,353.14,0.000790524807372721
BIRYANI LEAFS 50G,25.0,0.3,2075.0,83.0,8.17127729675481e-05
BITTER CHOCOLATE 150g 90% BITTER AMUL,200.0,0.3,2000.0,10.0,7.87592992458295e-05
BITTER CHOCOLATE 150g AMUL,198.33333333333334,0.3,2380.0,12.0,9.37235661025371e-05
