product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility,days_span,avg_days_between_sales,estimated_turnover
MUSTARD SMALL 200g,62.0,1.13,0.39,3.0,2916.0,2025-04-04,2025-09-28,55,0.3451327433628319,177,3.2181818181818183,0.6888888888888889
MYSORE PAK 250g HARD VELLANKI FOODS,79.0,1.25,0.47,3.0,11625.0,2025-04-02,2025-09-30,63,0.376,181,2.873015873015873,0.8777777777777778
Mango Juices,7.0,1.4,0.55,2.0,560.0,2025-04-16,2025-08-25,5,0.3928571428571429,131,26.2,0.11666666666666667
Mango Milk Shake,1.0,1.0,,1.0,60.0,2025-05-30,2025-05-30,1,,0,0.0,0.03333333333333333
Moosambi Economy,2.17,2.17,,2.17,106.53,2025-04-12,2025-04-12,1,,0,0.0,0.03333333333333333
NAGPUR ORANGE,598.51,10.88,6.76,33.36,86418.26,2025-04-01,2025-09-30,55,0.6213235294117646,182,3.309090909090909,0.5980315747402078
NAGPUR ORANGE JUICE,36.0,1.89,0.99,5.0,3090.0,2025-04-01,2025-09-29,19,0.5238095238095238,181,9.526315789473685,0.24
NALLA KARAM 100g VELLANKI FOODS,7.0,1.17,0.41,2.0,434.0,2025-08-25,2025-09-30,6,0.3504273504273504,36,6.0,0.11666666666666667
NALLA KARAM 250g AHA,4.0,1.0,0.0,1.0,480.0,2025-04-03,2025-08-19,4,0.0,138,34.5,0.13333333333333333
NANDA CREAM BUN VANILLA 60g,134.0,4.32,3.18,14.0,2010.0,2025-08-02,2025-09-28,31,0.736111111111111,57,1.8387096774193548,0.319047619047619
NANDA CRM BUN CHOCOLATE 60g,99.0,2.91,2.52,10.0,1485.0,2025-07-30,2025-09-29,34,0.8659793814432989,61,1.7941176470588236,0.33
NANDA CRM BUN PINEAPPLE 60g,91.0,2.84,1.74,7.0,1365.0,2025-07-30,2025-09-30,32,0.6126760563380282,62,1.9375,0.43333333333333335
NANDA MUFFIN FRUIT 240g,87.0,1.89,1.04,4.0,6427.25,2025-08-02,2025-09-30,46,0.5502645502645503,59,1.2826086956521738,0.725
NANDA MUFFIN VANILLA 240g,97.0,2.42,1.74,7.0,7187.0,2025-07-29,2025-09-30,40,0.71900826446281,63,1.575,0.46190476190476193
NANDA OSMANIA COOKIES 300g,143.0,2.55,1.49,8.0,10148.64,2025-07-30,2025-09-30,56,0.5843137254901961,62,1.1071428571428572,0.5958333333333333
NANDAS Mr BREADRY ZERO MAIDA 450g,3.0,1.5,0.71,2.0,180.0,2025-08-05,2025-08-07,2,0.47333333333333333,2,1.0,0.05
NARINJAAKAYA KG LOOSE,4.03,2.02,1.56,3.12,459.65,2025-08-26,2025-08-27,2,0.7722772277227723,1,0.5,0.043055555555555555
NATU DONDAKAI,743.5,4.06,2.01,9.35,39005.01,2025-04-01,2025-09-30,183,0.49507389162561577,182,0.994535519125683,2.6506238859180034
NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,26.0,1.18,0.5,3.0,4030.0,2025-04-04,2025-09-28,22,0.42372881355932207,177,8.045454545454545,0.28888888888888886
NATURAL COW GHEE 500ml JIVIKA ORGANICS,6.0,1.0,0.0,1.0,2994.0,2025-04-29,2025-09-23,6,0.0,147,24.5,0.2
NATURAL CURD 450g SIDS FARM,1067.0,5.86,2.71,13.0,53340.0,2025-04-01,2025-09-30,182,0.462457337883959,182,1.0,2.735897435897436
NATURAL ROCK SALT 1Kg JIVIKA ORGANICS,85.0,1.33,0.71,5.0,9680.0,2025-04-02,2025-09-27,64,0.5338345864661653,178,2.78125,0.5666666666666667
NATURAL THICK CURD  POUCH 400 GMS ID FRESH,97.0,1.76,1.29,9.0,4642.0,2025-04-13,2025-09-28,55,0.7329545454545455,168,3.0545454545454547,0.3592592592592593
NATURAL THICK CURD CUP 400g ID FRESH,14.0,1.17,0.39,2.0,1100.0,2025-04-08,2025-09-07,12,0.33333333333333337,152,12.666666666666666,0.23333333333333334
NAVARATAN MIXTURE 250g VELLANKI FOODS,139.0,1.39,0.63,4.0,21785.0,2025-04-01,2025-09-28,100,0.45323741007194246,180,1.8,1.1583333333333334
NEELAM MANGO Kg LOOSE,382.65,6.71,4.59,20.65,57965.95,2025-06-21,2025-08-31,57,0.684053651266766,71,1.2456140350877194,0.6176755447941888
NETHI BHERAKAI,341.48,2.03,1.17,6.28,19950.29,2025-04-01,2025-09-28,168,0.5763546798029557,180,1.0714285714285714,1.8125265392781318
NUTMEG 50G,31.0,1.11,0.31,2.0,2480.0,2025-04-14,2025-09-26,28,0.27927927927927926,165,5.892857142857143,0.5166666666666667
NUTRI+ WITH IMMUNITY BOOSTERS - 30 EGGS TRAY ABHI EGGS,58.0,1.32,0.56,3.0,22910.0,2025-04-04,2025-09-29,44,0.42424242424242425,178,4.045454545454546,0.6444444444444445
NUTRI+ WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,96.0,1.63,0.85,4.0,8064.0,2025-04-03,2025-09-25,59,0.5214723926380368,175,2.9661016949152543,0.8
NUVULA KARAM FLYBERRY,0.06,0.06,,0.06,31.9,2025-07-20,2025-07-20,1,,0,0.0,0.03333333333333333
NUVVULA CHIKKI 250g VELLANKI FOODS,153.0,1.72,1.01,6.0,23915.0,2025-04-01,2025-09-29,89,0.5872093023255814,181,2.033707865168539,0.85
NUVVUNDALU 250g VELLANKI FOODS,78.0,1.1,0.3,2.0,12280.0,2025-04-02,2025-09-27,71,0.2727272727272727,178,2.507042253521127,1.3
OKRA CHIPS VACUUM FRIED 20g FLYBERRY,4.0,1.33,0.58,2.0,196.0,2025-09-21,2025-09-25,3,0.4360902255639097,4,1.3333333333333333,0.06666666666666667
OLIVE OIL 1LTR MESMARA,3.0,1.0,0.0,1.0,2997.0,2025-04-20,2025-05-26,3,0.0,36,12.0,0.1
OMANI SEEDLESS 250g FLYBERRY,35.0,1.13,0.34,2.0,5211.0,2025-06-06,2025-09-28,31,0.3008849557522124,114,3.6774193548387095,0.5833333333333334
ONION,13298.94,72.67,23.81,146.35,443523.94,2025-04-01,2025-09-30,183,0.3276455208476675,182,0.994535519125683,3.0290263067987704
ONION WHITE,84.43,1.96,1.66,7.17,3798.56,2025-04-01,2025-08-05,43,0.846938775510204,126,2.9302325581395348,0.39251510925151095
ORANGE DRAGES KG LOOSE FLYBERRY,0.12,0.12,,0.12,322.28,2025-05-01,2025-05-01,1,,0,0.0,0.03333333333333333
ORANGE JUICE,1.0,1.0,,1.0,120.0,2025-06-28,2025-06-28,1,,0,0.0,0.03333333333333333
ORGANIC CURD. 1KG TUB AKSHAYAKALPA,81.0,1.21,0.51,3.0,12555.0,2025-04-06,2025-09-30,67,0.42148760330578516,177,2.6417910447761193,0.9
ORGANIC GREEK YOGHURT NATURAL 100g AKSHAYAKALPA,49.0,1.48,0.71,4.0,2940.0,2025-04-02,2025-08-25,33,0.4797297297297297,145,4.393939393939394,0.4083333333333333
ORGANIC MALAI PANEER 200g AKSHAYAKALPA,233.0,1.97,1.04,5.0,32593.0,2025-04-01,2025-09-30,118,0.5279187817258884,182,1.5423728813559323,1.5533333333333332
ORGANIC- CHEESE SLICES AKSHAYAKALPA,18.0,1.12,0.34,2.0,2160.0,2025-04-12,2025-09-21,16,0.30357142857142855,162,10.125,0.3
ORGANIC-PROBIOTIC CURD AKSHAYAKALPA,285.0,2.18,1.29,7.0,15675.0,2025-04-01,2025-09-30,131,0.591743119266055,182,1.3893129770992367,1.3571428571428572
OUTSIDE YELLOW MELON Kg,161.7,4.26,2.86,13.33,6451.6,2025-04-01,2025-06-06,38,0.6713615023474179,66,1.736842105263158,0.404351087771943
PALAK GREEN,1811.05,9.95,3.13,20.0,163396.09,2025-04-01,2025-09-30,182,0.314572864321608,182,1.0,3.0184166666666665
PALLI GROUND NUT KARAM 100g VELLANKI FOODS,25.0,1.09,0.29,2.0,1628.0,2025-04-12,2025-09-20,23,0.2660550458715596,161,7.0,0.4166666666666667
