product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility,days_span,avg_days_between_sales,estimated_turnover
PUMPKIN SEEDS KG FLYBERRY,21.79,0.24,0.2,1.55,23855.56,2025-04-01,2025-09-30,92,0.8333333333333334,182,1.9782608695652173,0.4686021505376344
PURE O FRESH EGGS 30 pack,787.0,4.4,2.1,10.0,196234.74,2025-04-01,2025-09-30,179,0.47727272727272724,182,1.0167597765363128,2.6233333333333335
PURE O FRESH EGGS 6 PACK,1855.0,10.19,5.12,34.0,100072.8,2025-04-01,2025-09-29,182,0.5024533856722277,181,0.9945054945054945,1.8186274509803921
PUTNALU KOBBARIKARAM 250g AHA,3.0,1.0,0.0,1.0,360.0,2025-04-02,2025-09-07,3,0.0,158,52.666666666666664,0.1
Pomogranate Pack of 4,127.0,1.4,0.7,4.0,29393.0,2025-04-02,2025-09-30,91,0.5,181,1.989010989010989,1.0583333333333333
QUINOA SEEDS KGS FLYBERRY,0.12,0.12,,0.12,55.8,2025-07-06,2025-07-06,1,,0,0.0,0.03333333333333333
RAGI FLOUR 500G,169.0,1.72,1.0,5.0,8124.0,2025-04-02,2025-09-29,98,0.5813953488372093,180,1.836734693877551,1.1266666666666667
RAGULU 500g,72.0,1.36,0.71,4.0,3240.0,2025-04-02,2025-09-28,53,0.5220588235294117,179,3.3773584905660377,0.6
RAISIN N ALMOND 150G CHOCOLATE AMUL,11.0,1.1,0.32,2.0,2750.0,2025-04-07,2025-07-26,10,0.2909090909090909,110,11.0,0.18333333333333332
RASAM PODI 100g VELLANKI FOODS,12.0,1.2,0.42,2.0,728.0,2025-04-11,2025-09-26,10,0.35,168,16.8,0.2
RAW BANANA(GREEN PLANTIN),2133.14,11.66,3.23,26.92,128694.32,2025-04-01,2025-09-30,183,0.2770154373927959,182,0.994535519125683,2.6413323427439326
RAW HONEY 500g BT ROYAL BEE PON,3.0,1.0,0.0,1.0,1140.0,2025-07-02,2025-08-20,3,0.0,49,16.333333333333332,0.1
RAW HONEY 950G BT ROYAL BEE PON,3.0,1.0,0.0,1.0,2160.0,2025-07-15,2025-08-31,3,0.0,47,15.666666666666666,0.1
RAW MANGO,999.98,5.46,2.57,13.29,61097.94,2025-04-01,2025-09-30,183,0.4706959706959707,182,0.994535519125683,2.508101329320291
RAW PEANUT 1KG,175.0,1.58,0.75,4.0,29674.0,2025-04-03,2025-09-28,111,0.47468354430379744,178,1.6036036036036037,1.4583333333333333
RAW PEANUT500g,280.0,1.99,1.1,6.0,24895.5,2025-04-01,2025-09-29,141,0.5527638190954774,181,1.2836879432624113,1.5555555555555556
RED BANTHI POOLU KGS LOOSE,8.11,4.06,1.44,5.07,1451.33,2025-08-26,2025-08-27,2,0.35467980295566504,1,0.5,0.05332018408941485
RED BULL CAN 250ml,24.0,1.33,0.59,3.0,3000.0,2025-07-31,2025-09-17,18,0.44360902255639095,48,2.6666666666666665,0.26666666666666666
RED CHERRY FLYBERRY,9.78,0.16,0.1,0.51,5771.13,2025-04-27,2025-09-29,61,0.625,155,2.540983606557377,0.6392156862745098
RED CHILLI PAPAD 200G EVR,6.0,1.0,0.0,1.0,408.0,2025-04-08,2025-05-24,6,0.0,46,7.666666666666667,0.2
RED CHILLI PICKLE 250G VELLANKI FOODS,19.0,1.06,0.24,2.0,2295.0,2025-04-01,2025-09-21,18,0.22641509433962262,173,9.61111111111111,0.31666666666666665
RED LOBIYA 500g,45.0,1.12,0.33,2.0,4270.0,2025-04-01,2025-09-19,40,0.29464285714285715,171,4.275,0.75
RED RAJMA 500g,49.0,1.11,0.39,3.0,4900.0,2025-04-14,2025-09-30,44,0.3513513513513513,169,3.840909090909091,0.5444444444444444
RED RICE 1KG,11.0,1.1,0.32,2.0,1183.0,2025-04-13,2025-07-04,10,0.2909090909090909,82,8.2,0.18333333333333332
RED SEEDLESS GRAPES,0.28,0.28,,0.28,122.95,2025-07-09,2025-07-09,1,,0,0.0,0.03333333333333333
REDCHILLY,0.6,0.6,,0.6,33.49,2025-04-19,2025-04-19,1,,0,0.0,0.03333333333333333
RIBBON PAKODI 250g VELLANKI FOODS,232.0,1.83,1.11,8.0,32950.0,2025-04-01,2025-09-28,127,0.6065573770491803,180,1.4173228346456692,0.9666666666666667
RICE FLOUR 500G,135.0,1.73,1.15,6.0,6495.0,2025-04-02,2025-09-22,78,0.6647398843930635,173,2.217948717948718,0.75
RICE RAVA IDLY BATTER 1KG ID FRESH,66.0,1.29,0.5,3.0,6175.0,2025-04-02,2025-09-26,51,0.38759689922480617,177,3.4705882352941178,0.7333333333333333
RICE RAWA 500g,83.0,1.48,1.22,9.0,3320.0,2025-04-04,2025-09-28,56,0.8243243243243243,177,3.1607142857142856,0.3074074074074074
RIDGE GOURD,6459.72,35.3,9.91,64.06,368571.19,2025-04-01,2025-09-30,183,0.2807365439093485,182,0.994535519125683,3.3612862940992816
ROASTED CHANA 200G,10.0,2.5,1.0,4.0,500.0,2025-09-07,2025-09-10,4,0.4,3,0.75,0.08333333333333333
ROASTED SALTED ALMOND  KGS FLYBERRY,0.11,0.11,,0.11,174.9,2025-08-06,2025-08-06,1,,0,0.0,0.03333333333333333
ROASTED SALTED PISTA KG FLYBERRY,14.81,0.2,0.14,0.79,27159.99,2025-04-01,2025-09-27,73,0.7000000000000001,179,2.452054794520548,0.6248945147679325
ROMAIN LETTUCE KG ENGISH ITEM SAMBERRY,9.71,0.15,0.09,0.64,2468.75,2025-04-03,2025-09-28,64,0.6,178,2.78125,0.5057291666666668
ROSE FLOWER POOLU KG LOOSE,2.16,1.08,0.1,1.15,942.63,2025-08-26,2025-08-27,2,0.09259259259259259,1,0.5,0.06260869565217392
ROSE LONG BRINJAL,1768.41,9.66,3.61,17.92,111942.42,2025-04-01,2025-09-30,183,0.37370600414078675,182,0.994535519125683,3.289453125
ROUND CHEKKALU 250g VELLANKI FOODS,1.0,1.0,,1.0,160.0,2025-06-20,2025-06-20,1,,0,0.0,0.03333333333333333
RUBUSTA BANANA,4351.04,23.91,8.32,69.17,204084.65,2025-04-01,2025-09-30,182,0.3479715600167294,182,1.0,2.0967856970748397
RUMANI MANGO KG LOOSE,20.04,1.54,0.95,3.71,1788.97,2025-06-21,2025-07-16,13,0.6168831168831168,25,1.9230769230769231,0.18005390835579516
Raw Forest Honey 1000g BT,8.0,1.14,0.38,2.0,5544.0,2025-05-16,2025-09-21,7,0.33333333333333337,128,18.285714285714285,0.13333333333333333
Raw Forest Honey 500g BT,22.0,1.05,0.22,2.0,8118.0,2025-04-27,2025-09-28,21,0.20952380952380953,154,7.333333333333333,0.36666666666666664
Raw Jamun Honey 1000g BT,5.0,1.0,0.0,1.0,3780.0,2025-05-25,2025-09-18,5,0.0,116,23.2,0.16666666666666666
Raw Jamun Honey 500g BT,8.0,1.0,0.0,1.0,3168.0,2025-04-15,2025-09-27,8,0.0,165,20.625,0.26666666666666666
Raw Neem Honey 1000g BT,4.0,1.0,0.0,1.0,3024.0,2025-05-07,2025-07-03,4,0.0,57,14.25,0.13333333333333333
Raw Neem Honey 500g BT,10.0,1.0,0.0,1.0,3960.0,2025-05-20,2025-09-06,10,0.0,109,10.9,0.3333333333333333
Raw Pappaya,34.45,1.23,0.57,2.27,1678.86,2025-05-18,2025-09-25,28,0.46341463414634143,130,4.642857142857143,0.5058737151248165
Red Banana,190.12,1.25,0.94,4.6,23570.56,2025-04-01,2025-09-30,152,0.752,182,1.1973684210526316,1.3776811594202898
Royalaga Pack of 4,182.0,1.53,0.66,4.0,27061.0,2025-04-02,2025-09-30,119,0.43137254901960786,181,1.5210084033613445,1.5166666666666666
SABJA SEEDS KG FLYBERRY,6.0,0.14,0.09,0.52,3184.24,2025-04-05,2025-09-21,42,0.6428571428571428,169,4.023809523809524,0.3846153846153846
SABUDANA 250g,98.0,1.48,0.93,6.0,4110.0,2025-04-04,2025-09-28,66,0.6283783783783784,177,2.6818181818181817,0.5444444444444444
SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA,6.0,1.0,0.0,1.0,3240.0,2025-04-20,2025-08-31,6,0.0,133,22.166666666666668,0.2
SAMBAR ONION CHENNAI,8.82,1.47,1.69,4.85,846.72,2025-08-22,2025-08-31,6,1.1496598639455782,9,1.5,0.06061855670103093
SAMBAR PODI 100g VELLANKI FOODS,23.0,1.53,0.64,3.0,1392.0,2025-04-11,2025-09-26,15,0.41830065359477125,168,11.2,0.25555555555555554
SAMBAR  ONION,362.22,2.41,1.6,7.88,14163.04,2025-04-01,2025-09-30,150,0.6639004149377593,182,1.2133333333333334,1.5322335025380711
SANNAPOOSA 250g VELLANKI FOODS,143.0,1.46,0.69,4.0,20310.0,2025-04-01,2025-09-28,98,0.4726027397260274,180,1.836734693877551,1.1916666666666667
SAUNF 100gm EVR,5.0,2.5,0.71,3.0,225.0,2025-04-10,2025-04-13,2,0.284,3,1.5,0.05555555555555555
SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,18.0,1.29,0.47,2.0,9450.0,2025-04-03,2025-09-12,14,0.3643410852713178,162,11.571428571428571,0.3
SET CURD 1kg BUCKET MILKY MIST,201.0,1.83,0.96,5.0,24120.0,2025-04-09,2025-09-30,110,0.5245901639344261,174,1.5818181818181818,1.34
SET CURD 200g MILKY MIST,66.0,1.22,0.54,3.0,2178.0,2025-04-01,2025-09-19,54,0.4426229508196722,171,3.1666666666666665,0.7333333333333333
SET CURD 400g MILKY MIST,67.0,1.18,0.47,3.0,4355.0,2025-04-01,2025-09-30,57,0.3983050847457627,182,3.192982456140351,0.7444444444444445
SHAH JEERA 50g,119.0,1.51,0.73,4.0,9960.0,2025-04-04,2025-09-28,79,0.4834437086092715,177,2.240506329113924,0.9916666666666667
SHRIKAND ELAICHI 100g MILKY MIST,14.0,1.0,0.0,1.0,630.0,2025-04-12,2025-09-22,14,0.0,163,11.642857142857142,0.4666666666666667
SHRIKAND MANGO 100g MILKY MIST,19.0,1.27,0.59,3.0,855.0,2025-04-01,2025-09-25,15,0.4645669291338582,177,11.8,0.2111111111111111
SID FARMS MALAI PANEER 200g,395.0,2.52,1.36,8.0,47993.0,2025-04-01,2025-09-30,157,0.5396825396825398,182,1.1592356687898089,1.6458333333333333
SIMLA APPLE,142.4,4.59,2.45,11.84,29255.1,2025-08-26,2025-09-30,31,0.533769063180828,35,1.1290322580645162,0.4009009009009009
SINGLE POLISH RICE 1Kg,48.0,1.6,1.0,5.0,3840.0,2025-04-06,2025-09-28,30,0.625,175,5.833333333333333,0.32
SINGLE POLISH RICE 5Kg,39.0,1.3,0.65,4.0,15405.0,2025-04-25,2025-09-26,30,0.5,154,5.133333333333334,0.325
SKYR YOGHURT 100g MILKYMIST,38.0,1.46,0.9,4.0,2280.0,2025-04-03,2025-09-03,26,0.6164383561643836,153,5.884615384615385,0.31666666666666665
SMALL AMLA,3.13,0.63,0.65,1.77,354.14,2025-05-02,2025-09-06,5,1.0317460317460319,127,25.4,0.05894538606403013
SMALL CAPSICUM,250.42,2.26,1.44,5.17,21541.67,2025-04-06,2025-09-30,111,0.6371681415929203,177,1.5945945945945945,1.6145712443584783
SNAKE GOURD,433.94,2.48,1.49,8.25,30806.8,2025-04-01,2025-09-30,175,0.6008064516129032,182,1.04,1.7532929292929293
SOAN PATTI 250g VELLANKI FOODS,24.0,1.04,0.21,2.0,4245.0,2025-04-04,2025-09-27,23,0.2019230769230769,176,7.6521739130434785,0.4
SONA MASURI TELANGANA STEAM RICE 26KG GAJANAN,5.0,1.0,0.0,1.0,7750.0,2025-04-13,2025-07-11,5,0.0,89,17.8,0.16666666666666666
SOYA CHUNKS MEDIUM 200G EVR,115.0,1.29,0.5,3.0,6485.0,2025-04-01,2025-09-28,89,0.38759689922480617,180,2.0224719101123596,1.2777777777777777
SOYA CHUNKS SMALL 200G EVR,125.0,1.56,0.84,5.0,5247.9,2025-04-01,2025-09-30,80,0.5384615384615384,182,2.275,0.8333333333333334
SOYAKURA,20.21,0.17,0.11,0.62,1401.56,2025-04-02,2025-09-28,116,0.6470588235294117,179,1.543103448275862,1.0865591397849461
SPECIAL  LONG LIFE MILK 500ML HERITAGE,747.0,4.64,3.71,21.0,25423.0,2025-04-01,2025-09-30,161,0.7995689655172414,182,1.1304347826086956,1.1857142857142857
SPECIAL LONG LIFE COW MILK 180ML HERITAGE,634.0,3.99,3.94,17.0,7878.39,2025-04-02,2025-09-30,159,0.9874686716791979,181,1.1383647798742138,1.2431372549019608
SPECIALE COFFEE 200g JAR CONTINENTAL,1.0,1.0,,1.0,749.0,2025-04-04,2025-04-04,1,,0,0.0,0.03333333333333333
SPICE ALMOND DRAGEE KG LOOSE FLYBERRY,0.17,0.17,,0.17,373.83,2025-07-19,2025-07-19,1,,0,0.0,0.03333333333333333
SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA,281.0,2.65,2.0,10.0,8430.0,2025-04-04,2025-09-29,106,0.7547169811320755,178,1.679245283018868,0.9366666666666666
SPICED TARO CHIPS 30g FLYBERRY GOURMET,1.0,1.0,,1.0,99.0,2025-04-08,2025-04-08,1,,0,0.0,0.03333333333333333
SPICY ALOO CHIPS 100g VELLANKI FOODS,227.0,1.99,1.22,5.0,14325.0,2025-04-02,2025-09-30,114,0.6130653266331658,181,1.587719298245614,1.5133333333333334
SPRITE 600ML,12.0,1.5,1.07,4.0,480.0,2025-04-26,2025-05-05,8,0.7133333333333334,9,1.125,0.1
SPRITE PET  250ML,119.0,2.16,1.73,7.0,2360.0,2025-04-12,2025-09-30,55,0.8009259259259258,171,3.109090909090909,0.5666666666666667
SPROUTED RAGI FLOUR 500GMS SRI AHARYA,8.0,1.14,0.38,2.0,552.0,2025-04-01,2025-05-08,7,0.33333333333333337,37,5.285714285714286,0.13333333333333333
SRI DIVYA DEEPARDHANA OIL 910 ML,2.0,2.0,,2.0,380.0,2025-09-21,2025-09-21,1,,0,0.0,0.03333333333333333
SRI LALITHA BROWN RICE 5KG SONAMASOORI,2.0,1.0,0.0,1.0,830.0,2025-07-27,2025-08-02,2,0.0,6,3.0,0.06666666666666667
SRI LALITHA HMT RICE 10KG,4.0,1.0,0.0,1.0,3560.0,2025-09-08,2025-09-26,4,0.0,18,4.5,0.13333333333333333
SRI LALITHA HMT RICE 26KG,1.0,1.0,,1.0,1670.0,2025-08-24,2025-08-24,1,,0,0.0,0.03333333333333333
SRI LALITHA IDLY RAVA 1KG,10.0,1.25,0.46,2.0,600.0,2025-07-26,2025-08-06,8,0.368,11,1.375,0.16666666666666666
STAR FRUIT,12.0,2.4,0.89,3.0,1068.0,2025-07-30,2025-09-30,5,0.37083333333333335,62,12.4,0.13333333333333333
STAR PAPAD 200G EVR,8.0,1.14,0.38,2.0,384.0,2025-06-01,2025-08-19,7,0.33333333333333337,79,11.285714285714286,0.13333333333333333
STRAWBERRY FLAVOURED MILK 180ML HERITAGE,254.0,2.23,1.6,7.0,7336.0,2025-04-01,2025-09-26,114,0.7174887892376682,178,1.5614035087719298,1.2095238095238094
STRAWBERRY LOCAL ANAND BOX,7.0,7.0,,7.0,518.0,2025-04-21,2025-04-21,1,,0,0.0,0.03333333333333333
SUGAR 1 KG,223.0,1.68,1.03,8.0,11764.0,2025-04-01,2025-09-30,133,0.6130952380952381,182,1.368421052631579,0.9291666666666667
SUGAR 2 KG,40.0,1.25,0.8,5.0,3960.0,2025-04-02,2025-09-16,32,0.64,167,5.21875,0.26666666666666666
SUGAR CANE PACK,94.0,1.84,1.01,5.0,2632.0,2025-04-03,2025-09-17,51,0.5489130434782609,167,3.2745098039215685,0.6266666666666667
SUGAR FREE DARK CHOCOLATE 150g AMUL,20.0,1.25,0.58,3.0,4000.0,2025-05-27,2025-06-29,16,0.46399999999999997,33,2.0625,0.2222222222222222
SUN MELON YELLOW,1.3,1.3,,1.3,46.73,2025-05-04,2025-05-04,1,,0,0.0,0.03333333333333333
SUNFLOWER OIL 1LT COLD PRESSED MESMARA,15.0,1.07,0.27,2.0,8145.0,2025-04-02,2025-09-22,14,0.25233644859813087,173,12.357142857142858,0.25
SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS,24.0,1.14,0.36,2.0,11040.0,2025-04-18,2025-09-28,21,0.31578947368421056,163,7.761904761904762,0.4
SUNFLOWER OIL COLDPRESSED 5L MESMARA,1.0,1.0,,1.0,2690.0,2025-07-14,2025-07-14,1,,0,0.0,0.03333333333333333
SUNFLOWER SEEDS KG FLYBERRY,12.73,0.2,0.12,0.61,12082.1,2025-04-01,2025-08-19,65,0.6,140,2.1538461538461537,0.6956284153005464
SWEET ALMOND OIL100ML MESMARA,3.0,1.0,0.0,1.0,1347.0,2025-06-02,2025-08-23,3,0.0,82,27.333333333333332,0.1
SWEET CORN,7012.0,38.32,14.2,106.0,102729.3,2025-04-01,2025-09-30,183,0.3705636743215031,182,0.994535519125683,2.2050314465408807
SWEET CORN SEED,410.0,2.85,1.74,10.0,20500.0,2025-04-01,2025-09-30,144,0.6105263157894737,182,1.2638888888888888,1.3666666666666667
SWEET POTATO,2245.13,12.27,4.64,34.33,130210.12,2025-04-01,2025-09-30,183,0.3781581092094539,182,0.994535519125683,2.1799495096611325
Small Bitter Gourd,414.24,4.23,3.02,12.76,26423.58,2025-04-01,2025-09-28,98,0.7139479905437351,180,1.836734693877551,1.0821316614420062
Snake Gourd Small,2.01,0.5,0.29,0.84,79.6,2025-07-11,2025-09-17,4,0.58,68,17.0,0.07976190476190476
TABLE BUTTER 100g HERITAGE,120.0,1.56,0.72,4.0,7228.0,2025-04-02,2025-09-30,77,0.4615384615384615,181,2.3506493506493507,1.0
TABLE BUTTER 500G HERITAGE,8.0,1.0,0.0,1.0,2095.0,2025-05-15,2025-09-27,8,0.0,135,16.875,0.26666666666666666
TABLE BUTTER CHIPLITE MILKY MIST,57.0,1.12,0.33,2.0,4437.54,2025-04-03,2025-09-26,51,0.29464285714285715,176,3.450980392156863,0.95
TABLE BUTTER SALTED 100g MILKY MIST,23.0,1.28,0.46,2.0,1718.0,2025-04-05,2025-09-29,18,0.359375,177,9.833333333333334,0.38333333333333336
TABLE BUTTER SALTED 200G MILKY MIST,13.0,1.08,0.29,2.0,1895.0,2025-04-04,2025-09-19,12,0.2685185185185185,168,14.0,0.21666666666666667
TAMARIND 500g,97.0,1.56,0.9,4.0,11245.0,2025-04-05,2025-09-30,62,0.5769230769230769,178,2.870967741935484,0.8083333333333333
TAMARIND PICKLE 250g AHA,9.0,1.0,0.0,1.0,810.0,2025-04-06,2025-09-25,9,0.0,172,19.11111111111111,0.3
TAMARIND PICKLE 500g AHA,1.0,1.0,,1.0,175.0,2025-04-29,2025-04-29,1,,0,0.0,0.03333333333333333
TAMARIND PICKLE250G VELLANKI FOODS,2.0,1.0,0.0,1.0,220.0,2025-04-08,2025-05-09,2,0.0,31,15.5,0.06666666666666667
TAMARIND SEEDLESS 500g SRI SIVA RUDRA EVR,112.0,1.4,0.69,4.0,17571.75,2025-04-01,2025-09-16,80,0.4928571428571428,168,2.1,0.9333333333333333
TAPESWARAM KAJA 250g VELLANKI FOODS,101.0,1.26,0.47,3.0,14340.0,2025-04-02,2025-09-26,80,0.37301587301587297,177,2.2125,1.1222222222222222
TATA IODISED CRYSTAL SALT 1KG,20.0,1.54,0.97,4.0,440.0,2025-04-06,2025-05-04,13,0.6298701298701298,28,2.1538461538461537,0.16666666666666666
TATA SALT 1KG,146.0,1.49,0.99,6.0,4378.5,2025-04-01,2025-09-30,98,0.6644295302013423,182,1.8571428571428572,0.8111111111111111
TEENDA,16.04,0.84,0.51,2.19,1501.77,2025-06-29,2025-09-01,19,0.6071428571428572,64,3.3684210526315788,0.24414003044140029
TELANGANA CHEKKALU 250g  VELLANKI FOODS,419.0,2.62,1.33,7.0,55106.0,2025-04-02,2025-09-30,160,0.5076335877862596,181,1.13125,1.9952380952380953
THADKA MIX POPU DINUSULU 200G,1.0,1.0,,1.0,48.0,2025-04-02,2025-04-02,1,,0,0.0,0.03333333333333333
THAI RED CHILLI KG ENGLISH ITEM SAMBERRY,0.61,0.2,0.04,0.24,561.72,2025-07-27,2025-08-31,3,0.19999999999999998,35,11.666666666666666,0.08472222222222223
THAMALAPAKULU,155.0,38.75,30.45,75.0,155.0,2025-08-07,2025-09-09,4,0.7858064516129032,33,8.25,0.06888888888888889
THIS CREAMY CARAMEL 18G CONTINENTAL,15.0,7.5,3.54,10.0,150.0,2025-04-19,2025-07-26,2,0.47200000000000003,98,49.0,0.05
THIS CREAMY COFFEE MOCHA 22g CONTINENETAL,25.0,8.33,2.89,10.0,950.0,2025-06-26,2025-09-08,3,0.3469387755102041,74,24.666666666666668,0.08333333333333333
THIS IS CAPPUCCINO 22g CONTINENTAL,5.0,5.0,,5.0,150.0,2025-04-26,2025-04-26,1,,0,0.0,0.03333333333333333
THIS IS CARAMEL CREAMY COFFEE22g CONTINENTAL,10.0,5.0,0.0,5.0,300.0,2025-04-22,2025-05-12,2,0.0,20,10.0,0.06666666666666667
THOTAPURI MANGO,502.01,3.22,1.8,8.5,34772.34,2025-04-01,2025-09-30,156,0.5590062111801242,182,1.1666666666666667,1.9686666666666666
THREE MANGO MIRCHI  PWD 500G,14.0,1.4,0.97,4.0,5232.0,2025-04-14,2025-08-23,10,0.6928571428571428,131,13.1,0.11666666666666667
THREE MANGO MIRCHI PWD 200G,2.0,2.0,,2.0,290.0,2025-04-01,2025-04-01,1,,0,0.0,0.03333333333333333
THREE MANGO RAI PWD 200G,3.0,1.5,0.71,2.0,126.0,2025-04-01,2025-04-26,2,0.47333333333333333,25,12.5,0.05
THREE MANGO RAI PWD 500G,4.0,1.33,0.58,2.0,309.0,2025-04-10,2025-05-06,3,0.4360902255639097,26,8.666666666666666,0.06666666666666667
THUMMIKURA,2.83,2.83,,2.83,279.97,2025-08-26,2025-08-26,1,,0,0.0,0.03333333333333333
THUMS UP  600ml PET BOTTLE,9.0,2.25,0.96,3.0,360.0,2025-04-26,2025-05-01,4,0.42666666666666664,5,1.25,0.1
THUMS UP 1.25L,1.0,1.0,,1.0,68.0,2025-04-13,2025-04-13,1,,0,0.0,0.03333333333333333
THUMS UP 1Lt PET BOTTLE,12.0,1.71,1.11,4.0,600.0,2025-05-09,2025-05-29,7,0.6491228070175439,20,2.857142857142857,0.1
THUMS UP 250ML,211.0,2.57,1.75,8.0,4220.0,2025-04-13,2025-09-22,82,0.6809338521400778,162,1.975609756097561,0.8791666666666667
TIL 100G,121.0,1.68,1.09,6.0,4755.0,2025-04-05,2025-09-27,72,0.6488095238095238,175,2.4305555555555554,0.6722222222222223
TNS DATES 200g,5.0,1.67,0.58,2.0,450.0,2025-04-16,2025-04-24,3,0.3473053892215569,8,2.6666666666666665,0.08333333333333333
TOFU PANEER 200g SAI RATNA FOODS,17.0,2.83,1.17,4.0,750.5,2025-04-03,2025-04-10,6,0.41342756183745577,7,1.1666666666666667,0.14166666666666666
TOMATO (APPLE) hybrid,520.95,3.1,4.93,61.39,29094.51,2025-04-01,2025-09-30,168,1.590322580645161,182,1.0833333333333333,0.2828636585763154
TOMATO LOCAL,19317.54,105.56,26.11,192.44,815238.32,2025-04-01,2025-09-30,183,0.24734748010610078,182,0.994535519125683,3.3460715028060695
TOMATO PICKLE  250g AHA,16.0,1.14,0.36,2.0,1440.0,2025-04-06,2025-09-16,14,0.31578947368421056,163,11.642857142857142,0.26666666666666666
TOMATO PICKLE  500g AHA,3.0,1.0,0.0,1.0,525.0,2025-04-17,2025-06-04,3,0.0,48,16.0,0.1
TOMATO PICKLE 250G VELLANKI FOODS,10.0,1.0,0.0,1.0,1190.0,2025-08-31,2025-09-30,10,0.0,30,3.0,0.3333333333333333
TONED MILK 500ml HERITAGE,14652.0,72.9,131.69,1912.0,401154.05,2025-04-01,2025-09-30,201,1.8064471879286692,182,0.9054726368159204,0.25543933054393303
TOOR  DAL FATKA POLISHED 1kg,145.0,1.58,0.83,5.0,23307.0,2025-04-02,2025-09-30,92,0.5253164556962024,181,1.9673913043478262,0.9666666666666667
TOOR DAL PRM UNPOLISHED FATKA 1KG,147.0,1.56,0.77,4.0,24365.0,2025-04-12,2025-09-30,94,0.49358974358974356,171,1.8191489361702127,1.225
TOP MILLET ANDU KORRALU 500G,24.0,1.09,0.29,2.0,3600.0,2025-05-03,2025-09-28,22,0.2660550458715596,148,6.7272727272727275,0.4
TOTAL CURD 120GMS HERITAGE,1979.0,11.44,4.93,27.0,19790.0,2025-04-01,2025-09-30,173,0.43094405594405594,182,1.0520231213872833,2.44320987654321
TRIANGLE PAPAD 200G EVR,9.0,1.0,0.0,1.0,432.0,2025-04-06,2025-07-21,9,0.0,106,11.777777777777779,0.3
TURNIPS KG ENGLISH ITEM SAMBERRY,0.35,0.35,,0.35,0.0,2025-04-20,2025-04-20,1,,0,0.0,0.03333333333333333
TUTTI FRUITY KG FLYBERRY,1.42,0.12,0.07,0.25,467.94,2025-06-29,2025-09-08,12,0.5833333333333334,71,5.916666666666667,0.18933333333333333
Thotakura,782.36,4.28,2.01,14.2,50208.8,2025-04-01,2025-09-30,183,0.469626168224299,182,0.994535519125683,1.8365258215962441
Tulsi Infused Honey 250g BT,18.0,1.12,0.34,2.0,5184.0,2025-05-12,2025-08-22,16,0.30357142857142855,102,6.375,0.3
Tulsi Infused Honey 500g BT,2.0,1.0,0.0,1.0,1080.0,2025-09-08,2025-09-17,2,0.0,9,4.5,0.06666666666666667
UHT BUTTER MILK 180ML MILKY MIST,163.0,3.79,2.98,14.0,3260.0,2025-04-29,2025-09-28,43,0.7862796833773087,152,3.5348837209302326,0.3880952380952381
ULAVACHARU 250g HASSTA,372.0,2.5,1.55,7.0,38286.0,2025-04-01,2025-09-30,149,0.62,182,1.221476510067114,1.7714285714285714
URAD BLACK SPLIT 500g,11.0,1.38,0.74,3.0,935.0,2025-07-12,2025-09-23,8,0.5362318840579711,73,9.125,0.12222222222222222
URAD BLACK WHOLE 500G,12.0,1.5,1.07,4.0,1020.0,2025-08-03,2025-09-17,8,0.7133333333333334,45,5.625,0.1
URAD DAL UNPOLISHED 500g,55.0,1.22,0.42,2.0,4950.0,2025-04-08,2025-09-24,45,0.3442622950819672,169,3.7555555555555555,0.9166666666666666
URAD ROUND UN POLISHED 1kg,104.0,1.33,0.6,4.0,17019.75,2025-04-02,2025-09-29,78,0.45112781954887216,180,2.3076923076923075,0.8666666666666667
USA FUJI APPLE,731.18,4.04,2.51,12.37,305790.4,2025-04-01,2025-09-30,181,0.6212871287128713,182,1.0055248618784531,1.9703045001347346
VAAKKAI,41.28,0.57,0.37,1.46,3978.69,2025-05-21,2025-09-30,72,0.6491228070175439,132,1.8333333333333333,0.9424657534246577
VAMPOOSA 250g VELLANKI FOODS,301.0,2.12,1.26,7.0,42759.0,2025-04-01,2025-09-30,142,0.5943396226415094,182,1.2816901408450705,1.4333333333333333
VANILLA FLAVOURED MIILK 180ML HERITAGE,17.0,1.89,1.05,4.0,510.0,2025-04-01,2025-04-12,9,0.5555555555555556,11,1.2222222222222223,0.14166666666666666
VARI NUKA AISHWARYA 500G,2.0,2.0,,2.0,60.0,2025-06-09,2025-06-09,1,,0,0.0,0.03333333333333333
VELLANIKI BITTER GOURD PAKODA 150G,19.0,1.19,0.4,2.0,1938.0,2025-08-28,2025-09-30,16,0.33613445378151263,33,2.0625,0.31666666666666665
VELLANKI  PESARA MURKULU 250G,59.0,1.34,0.75,4.0,8670.0,2025-06-01,2025-09-30,44,0.5597014925373134,121,2.75,0.49166666666666664
VELLANKI AVISELA  CHIKKI 250G,42.0,1.11,0.31,2.0,6240.0,2025-05-28,2025-09-29,38,0.27927927927927926,124,3.263157894736842,0.7
