product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility
MASALA PALLI 250GMS VELLANKI FOODS,134.0,1.49,0.71,3.0,20220.0,2025-04-03,2025-09-28,90,0.47651006711409394
MASOOR DAL 500g,59.0,1.28,0.62,4.0,4360.0,2025-04-01,2025-09-28,46,0.484375
MASTI BUTTER MILK 1Lt AMUL,12.0,1.5,0.76,3.0,840.0,2025-04-14,2025-04-26,8,0.5066666666666667
MASTI BUTTER MILK 200ml AMUL tetra,175.0,4.38,4.0,20.0,2625.0,2025-04-11,2025-08-24,40,0.9132420091324202
MEDJOUL DATES LARGE FLYBERRY loose kgs,20.02,0.36,0.21,1.04,39455.28,2025-04-08,2025-09-30,56,0.5833333333333334
MENTI BIG,614.62,3.36,1.41,8.41,70809.16,2025-04-01,2025-09-30,183,0.41964285714285715
METHI 100G,101.0,1.53,0.77,4.0,3275.0,2025-04-02,2025-09-28,66,0.5032679738562091
MILK CHOCOLATE SMOOTH N CREAMY 150g AMUL,21.0,1.11,0.32,2.0,4160.0,2025-04-06,2025-09-28,19,0.2882882882882883
MILK SHAKE CHOCOLATE 220ML MILKY MIST,243.0,2.48,1.49,7.0,9691.2,2025-04-02,2025-09-30,98,0.6008064516129032
MILK SHAKE STRAWBERRY 180ML HERITAGE,60.0,2.14,1.11,4.0,1200.0,2025-06-04,2025-07-10,28,0.5186915887850467
MILK SHAKE STRAWBERRY 180ML MILKY MIST,145.0,2.04,1.42,8.0,5788.0,2025-04-24,2025-09-28,71,0.696078431372549
MILK SHAKE STRAWBERRY 180ml EPIGAMIA,247.0,2.06,1.37,7.0,9866.0,2025-04-01,2025-09-28,120,0.6650485436893204
MILK SHAKE VANILA 180ml EPIGAMIA,82.0,1.55,0.91,4.0,3280.0,2025-04-05,2025-09-14,53,0.5870967741935484
MILK SHAKE VANILLA 180ML MILKY MIST,58.0,1.57,0.77,3.0,2320.0,2025-04-01,2025-06-20,37,0.49044585987261147
MILKSHAKE CHOCOLATE 180ml EPIGAMIA,454.0,3.05,2.23,16.0,18150.4,2025-04-01,2025-09-24,149,0.7311475409836066
MILLET IDLY RAWA 500GMS SRI AHARYA,12.0,1.09,0.3,2.0,1068.0,2025-04-17,2025-06-03,11,0.2752293577981651
MILLET MOONG MIX 250g VELLANKI,69.0,1.28,0.53,3.0,10650.0,2025-06-03,2025-09-27,54,0.4140625
MINI MEDJOUL FLYBERRY loose kgs,5.23,0.31,0.29,1.16,6517.84,2025-04-02,2025-09-25,17,0.9354838709677419
MINUTE MAID PULPY 250 ML,113.0,2.4,1.57,6.0,2825.0,2025-04-24,2025-09-29,47,0.6541666666666667
MISHTI DAHI 80g  EPIGAMIA,113.0,1.82,1.05,6.0,3920.0,2025-04-01,2025-09-29,62,0.576923076923077
MIXED SPROUTS ANAND,1780.0,10.47,5.0,23.0,53400.0,2025-04-01,2025-09-30,170,0.47755491881566375
MIXTURE 250g VELLANKI FOODS,257.0,1.9,0.98,5.0,37369.5,2025-04-02,2025-09-30,135,0.5157894736842106
MODERN  CRUST PIZZA BASE 150g,6.0,3.0,2.83,5.0,210.0,2025-08-24,2025-09-13,2,0.9433333333333334
MODERN 100% WHOLE WHEAT BREAD 400G,191.0,1.95,1.18,6.0,10450.0,2025-05-09,2025-09-30,98,0.6051282051282051
MODERN BANANA PUDDING  CAKE 140g,33.0,1.1,0.4,3.0,1980.0,2025-05-12,2025-09-28,30,0.36363636363636365
MODERN CHOCO CHEER CAKE 120g,125.0,1.79,1.21,8.0,4375.0,2025-05-14,2025-09-16,70,0.6759776536312849
MODERN FRUIT & NUT CAKE 140g,61.0,1.39,0.58,3.0,3660.0,2025-05-14,2025-09-28,44,0.4172661870503597
MODERN HI FIBER  BROWN BREAD 400g,98.0,1.4,0.67,4.0,5335.0,2025-05-09,2025-09-30,70,0.47857142857142865
MODERN MILK PLUS BREAD 450g,178.0,1.82,1.01,5.0,9790.0,2025-05-10,2025-09-30,98,0.554945054945055
MODERN SANDWICH SUPREME BREAD 400g,106.0,1.49,0.67,3.0,5830.0,2025-05-11,2025-09-30,71,0.44966442953020136
MODERN WOW PAV 200g,63.0,1.91,1.07,4.0,1890.0,2025-05-10,2025-09-30,33,0.5602094240837697
MODREN FRUITY BREAD 200G,100.0,1.45,0.68,4.0,3000.0,2025-05-11,2025-09-28,69,0.46896551724137936
MOONG DAL 500G,112.0,1.44,0.71,4.0,8960.0,2025-04-01,2025-09-30,78,0.4930555555555555
MOONG DAL1kg,70.0,1.3,0.63,3.0,11200.0,2025-04-02,2025-09-27,54,0.4846153846153846
MOONG GREEN 500g,129.0,1.55,0.77,4.0,11338.94,2025-04-04,2025-09-28,83,0.4967741935483871
MOUSAMBI,1680.51,9.23,4.89,36.22,137279.59,2025-04-01,2025-09-30,182,0.5297941495124593
MOUSAMBI JUICE,110.0,1.86,1.11,5.0,9900.0,2025-04-01,2025-09-30,59,0.5967741935483871
MUKHWAS TINIMINI KG FLYBERRY,2.93,0.12,0.04,0.24,907.06,2025-04-05,2025-09-22,24,0.33333333333333337
MULAGAKU KARAM 100g VELLANKI FOODS,13.0,1.18,0.4,2.0,888.0,2025-04-06,2025-09-04,11,0.33898305084745767
MULBERY BOX PACK ANAND,155.0,3.44,1.06,6.0,13020.0,2025-04-01,2025-06-09,45,0.308139534883721
MURUKULU 250g VELLANKI FOODS,299.0,2.02,1.29,6.0,44517.89,2025-04-01,2025-09-30,148,0.6386138613861386
MUSK MELON - H,1538.89,8.46,4.63,29.31,67430.56,2025-04-01,2025-09-29,182,0.5472813238770685
MUSK MELON - LOCAL,78.91,3.59,1.67,6.65,5133.32,2025-04-01,2025-04-24,22,0.46518105849582175
MUSK MELON JUICE,80.0,1.82,1.04,5.0,4000.0,2025-04-01,2025-09-30,44,0.5714285714285714
