product,total_qty,avg_daily_qty,qty_std,max_daily_qty,total_revenue,first_sale,last_sale,sale_days,volatility
PROSO MILLET VARIGALU 500g,25.0,1.25,0.72,4.0,3750.0,2025-05-17,2025-09-22,20,0.576
PUDHINA,556.6,3.04,1.59,7.8,35355.33,2025-04-01,2025-09-30,183,0.5230263157894737
PULIHORA PASTE 250G VELLANKI FOODS,23.0,1.35,0.7,3.0,2665.0,2025-04-08,2025-09-29,17,0.5185185185185185
PUMPKIN,1242.06,6.82,3.95,22.77,47868.92,2025-04-01,2025-09-30,182,0.5791788856304986
PUMPKIN SEEDS KG FLYBERRY,21.79,0.24,0.2,1.55,23855.56,2025-04-01,2025-09-30,92,0.8333333333333334
PURE O FRESH EGGS 30 pack,787.0,4.4,2.1,10.0,196234.74,2025-04-01,2025-09-30,179,0.47727272727272724
PURE O FRESH EGGS 6 PACK,1855.0,10.19,5.12,34.0,100072.8,2025-04-01,2025-09-29,182,0.5024533856722277
Pomogranate Pack of 4,127.0,1.4,0.7,4.0,29393.0,2025-04-02,2025-09-30,91,0.5
RAGI FLOUR 500G,169.0,1.72,1.0,5.0,8124.0,2025-04-02,2025-09-29,98,0.5813953488372093
RAGULU 500g,72.0,1.36,0.71,4.0,3240.0,2025-04-02,2025-09-28,53,0.5220588235294117
RAISIN N ALMOND 150G CHOCOLATE AMUL,11.0,1.1,0.32,2.0,2750.0,2025-04-07,2025-07-26,10,0.2909090909090909
RASAM PODI 100g VELLANKI FOODS,12.0,1.2,0.42,2.0,728.0,2025-04-11,2025-09-26,10,0.35
RAW BANANA(GREEN PLANTIN),2133.14,11.66,3.23,26.92,128694.32,2025-04-01,2025-09-30,183,0.2770154373927959
RAW MANGO,999.98,5.46,2.57,13.29,61097.94,2025-04-01,2025-09-30,183,0.4706959706959707
RAW PEANUT 1KG,175.0,1.58,0.75,4.0,29674.0,2025-04-03,2025-09-28,111,0.47468354430379744
RAW PEANUT500g,280.0,1.99,1.1,6.0,24895.5,2025-04-01,2025-09-29,141,0.5527638190954774
RED BANTHI POOLU KGS LOOSE,8.11,4.06,1.44,5.07,1451.33,2025-08-26,2025-08-27,2,0.35467980295566504
RED BULL CAN 250ml,24.0,1.33,0.59,3.0,3000.0,2025-07-31,2025-09-17,18,0.44360902255639095
RED CHERRY FLYBERRY,9.78,0.16,0.1,0.51,5771.13,2025-04-27,2025-09-29,61,0.625
RED LOBIYA 500g,45.0,1.12,0.33,2.0,4270.0,2025-04-01,2025-09-19,40,0.29464285714285715
RED RAJMA 500g,49.0,1.11,0.39,3.0,4900.0,2025-04-14,2025-09-30,44,0.3513513513513513
RED RICE 1KG,11.0,1.1,0.32,2.0,1183.0,2025-04-13,2025-07-04,10,0.2909090909090909
RIBBON PAKODI 250g VELLANKI FOODS,232.0,1.83,1.11,8.0,32950.0,2025-04-01,2025-09-28,127,0.6065573770491803
RICE FLOUR 500G,135.0,1.73,1.15,6.0,6495.0,2025-04-02,2025-09-22,78,0.6647398843930635
RICE RAVA IDLY BATTER 1KG ID FRESH,66.0,1.29,0.5,3.0,6175.0,2025-04-02,2025-09-26,51,0.38759689922480617
RICE RAWA 500g,83.0,1.48,1.22,9.0,3320.0,2025-04-04,2025-09-28,56,0.8243243243243243
RIDGE GOURD,6459.72,35.3,9.91,64.06,368571.19,2025-04-01,2025-09-30,183,0.2807365439093485
ROASTED CHANA 200G,10.0,2.5,1.0,4.0,500.0,2025-09-07,2025-09-10,4,0.4
ROASTED SALTED PISTA KG FLYBERRY,14.81,0.2,0.14,0.79,27159.99,2025-04-01,2025-09-27,73,0.7000000000000001
ROMAIN LETTUCE KG ENGISH ITEM SAMBERRY,9.71,0.15,0.09,0.64,2468.75,2025-04-03,2025-09-28,64,0.6
ROSE LONG BRINJAL,1768.41,9.66,3.61,17.92,111942.42,2025-04-01,2025-09-30,183,0.37370600414078675
RUBUSTA BANANA,4351.04,23.91,8.32,69.17,204084.65,2025-04-01,2025-09-30,182,0.3479715600167294
RUMANI MANGO KG LOOSE,20.04,1.54,0.95,3.71,1788.97,2025-06-21,2025-07-16,13,0.6168831168831168
Raw Forest Honey 1000g BT,8.0,1.14,0.38,2.0,5544.0,2025-05-16,2025-09-21,7,0.33333333333333337
Raw Pappaya,34.45,1.23,0.57,2.27,1678.86,2025-05-18,2025-09-25,28,0.46341463414634143
Red Banana,190.12,1.25,0.94,4.6,23570.56,2025-04-01,2025-09-30,152,0.752
Royalaga Pack of 4,182.0,1.53,0.66,4.0,27061.0,2025-04-02,2025-09-30,119,0.43137254901960786
SABJA SEEDS KG FLYBERRY,6.0,0.14,0.09,0.52,3184.24,2025-04-05,2025-09-21,42,0.6428571428571428
SABUDANA 250g,98.0,1.48,0.93,6.0,4110.0,2025-04-04,2025-09-28,66,0.6283783783783784
SAMBAR ONION CHENNAI,8.82,1.47,1.69,4.85,846.72,2025-08-22,2025-08-31,6,1.1496598639455782
SAMBAR PODI 100g VELLANKI FOODS,23.0,1.53,0.64,3.0,1392.0,2025-04-11,2025-09-26,15,0.41830065359477125
SAMBAR  ONION,362.22,2.41,1.6,7.88,14163.04,2025-04-01,2025-09-30,150,0.6639004149377593
SANNAPOOSA 250g VELLANKI FOODS,143.0,1.46,0.69,4.0,20310.0,2025-04-01,2025-09-28,98,0.4726027397260274
SAUNF 100gm EVR,5.0,2.5,0.71,3.0,225.0,2025-04-10,2025-04-13,2,0.284
SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,18.0,1.29,0.47,2.0,9450.0,2025-04-03,2025-09-12,14,0.3643410852713178
SET CURD 1kg BUCKET MILKY MIST,201.0,1.83,0.96,5.0,24120.0,2025-04-09,2025-09-30,110,0.5245901639344261
SET CURD 200g MILKY MIST,66.0,1.22,0.54,3.0,2178.0,2025-04-01,2025-09-19,54,0.4426229508196722
SET CURD 400g MILKY MIST,67.0,1.18,0.47,3.0,4355.0,2025-04-01,2025-09-30,57,0.3983050847457627
SHAH JEERA 50g,119.0,1.51,0.73,4.0,9960.0,2025-04-04,2025-09-28,79,0.4834437086092715
SHRIKAND MANGO 100g MILKY MIST,19.0,1.27,0.59,3.0,855.0,2025-04-01,2025-09-25,15,0.4645669291338582
SID FARMS MALAI PANEER 200g,395.0,2.52,1.36,8.0,47993.0,2025-04-01,2025-09-30,157,0.5396825396825398
SIMLA APPLE,142.4,4.59,2.45,11.84,29255.1,2025-08-26,2025-09-30,31,0.533769063180828
SINGLE POLISH RICE 1Kg,48.0,1.6,1.0,5.0,3840.0,2025-04-06,2025-09-28,30,0.625
SINGLE POLISH RICE 5Kg,39.0,1.3,0.65,4.0,15405.0,2025-04-25,2025-09-26,30,0.5
SKYR YOGHURT 100g MILKYMIST,38.0,1.46,0.9,4.0,2280.0,2025-04-03,2025-09-03,26,0.6164383561643836
SMALL AMLA,3.13,0.63,0.65,1.77,354.14,2025-05-02,2025-09-06,5,1.0317460317460319
SMALL CAPSICUM,250.42,2.26,1.44,5.17,21541.67,2025-04-06,2025-09-30,111,0.6371681415929203
SNAKE GOURD,433.94,2.48,1.49,8.25,30806.8,2025-04-01,2025-09-30,175,0.6008064516129032
SOYA CHUNKS MEDIUM 200G EVR,115.0,1.29,0.5,3.0,6485.0,2025-04-01,2025-09-28,89,0.38759689922480617
SOYA CHUNKS SMALL 200G EVR,125.0,1.56,0.84,5.0,5247.9,2025-04-01,2025-09-30,80,0.5384615384615384
SOYAKURA,20.21,0.17,0.11,0.62,1401.56,2025-04-02,2025-09-28,116,0.6470588235294117
SPECIAL  LONG LIFE MILK 500ML HERITAGE,747.0,4.64,3.71,21.0,25423.0,2025-04-01,2025-09-30,161,0.7995689655172414
SPECIAL LONG LIFE COW MILK 180ML HERITAGE,634.0,3.99,3.94,17.0,7878.39,2025-04-02,2025-09-30,159,0.9874686716791979
SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA,281.0,2.65,2.0,10.0,8430.0,2025-04-04,2025-09-29,106,0.7547169811320755
SPICY ALOO CHIPS 100g VELLANKI FOODS,227.0,1.99,1.22,5.0,14325.0,2025-04-02,2025-09-30,114,0.6130653266331658
SPRITE 600ML,12.0,1.5,1.07,4.0,480.0,2025-04-26,2025-05-05,8,0.7133333333333334
SPRITE PET  250ML,119.0,2.16,1.73,7.0,2360.0,2025-04-12,2025-09-30,55,0.8009259259259258
SPROUTED RAGI FLOUR 500GMS SRI AHARYA,8.0,1.14,0.38,2.0,552.0,2025-04-01,2025-05-08,7,0.33333333333333337
SRI LALITHA IDLY RAVA 1KG,10.0,1.25,0.46,2.0,600.0,2025-07-26,2025-08-06,8,0.368
STAR FRUIT,12.0,2.4,0.89,3.0,1068.0,2025-07-30,2025-09-30,5,0.37083333333333335
STAR PAPAD 200G EVR,8.0,1.14,0.38,2.0,384.0,2025-06-01,2025-08-19,7,0.33333333333333337
STRAWBERRY FLAVOURED MILK 180ML HERITAGE,254.0,2.23,1.6,7.0,7336.0,2025-04-01,2025-09-26,114,0.7174887892376682
SUGAR 1 KG,223.0,1.68,1.03,8.0,11764.0,2025-04-01,2025-09-30,133,0.6130952380952381
SUGAR 2 KG,40.0,1.25,0.8,5.0,3960.0,2025-04-02,2025-09-16,32,0.64
SUGAR CANE PACK,94.0,1.84,1.01,5.0,2632.0,2025-04-03,2025-09-17,51,0.5489130434782609
SUGAR FREE DARK CHOCOLATE 150g AMUL,20.0,1.25,0.58,3.0,4000.0,2025-05-27,2025-06-29,16,0.46399999999999997
SUNFLOWER OIL 1LT COLD PRESSED MESMARA,15.0,1.07,0.27,2.0,8145.0,2025-04-02,2025-09-22,14,0.25233644859813087
SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS,24.0,1.14,0.36,2.0,11040.0,2025-04-18,2025-09-28,21,0.31578947368421056
SUNFLOWER SEEDS KG FLYBERRY,12.73,0.2,0.12,0.61,12082.1,2025-04-01,2025-08-19,65,0.6
SWEET CORN,7012.0,38.32,14.2,106.0,102729.3,2025-04-01,2025-09-30,183,0.3705636743215031
SWEET CORN SEED,410.0,2.85,1.74,10.0,20500.0,2025-04-01,2025-09-30,144,0.6105263157894737
SWEET POTATO,2245.13,12.27,4.64,34.33,130210.12,2025-04-01,2025-09-30,183,0.3781581092094539
Small Bitter Gourd,414.24,4.23,3.02,12.76,26423.58,2025-04-01,2025-09-28,98,0.7139479905437351
Snake Gourd Small,2.01,0.5,0.29,0.84,79.6,2025-07-11,2025-09-17,4,0.58
TABLE BUTTER 100g HERITAGE,120.0,1.56,0.72,4.0,7228.0,2025-04-02,2025-09-30,77,0.4615384615384615
TABLE BUTTER CHIPLITE MILKY MIST,57.0,1.12,0.33,2.0,4437.54,2025-04-03,2025-09-26,51,0.29464285714285715
TABLE BUTTER SALTED 100g MILKY MIST,23.0,1.28,0.46,2.0,1718.0,2025-04-05,2025-09-29,18,0.359375
TABLE BUTTER SALTED 200G MILKY MIST,13.0,1.08,0.29,2.0,1895.0,2025-04-04,2025-09-19,12,0.2685185185185185
TAMARIND 500g,97.0,1.56,0.9,4.0,11245.0,2025-04-05,2025-09-30,62,0.5769230769230769
TAMARIND SEEDLESS 500g SRI SIVA RUDRA EVR,112.0,1.4,0.69,4.0,17571.75,2025-04-01,2025-09-16,80,0.4928571428571428
TAPESWARAM KAJA 250g VELLANKI FOODS,101.0,1.26,0.47,3.0,14340.0,2025-04-02,2025-09-26,80,0.37301587301587297
TATA IODISED CRYSTAL SALT 1KG,20.0,1.54,0.97,4.0,440.0,2025-04-06,2025-05-04,13,0.6298701298701298
TATA SALT 1KG,146.0,1.49,0.99,6.0,4378.5,2025-04-01,2025-09-30,98,0.6644295302013423
TEENDA,16.04,0.84,0.51,2.19,1501.77,2025-06-29,2025-09-01,19,0.6071428571428572
TELANGANA CHEKKALU 250g  VELLANKI FOODS,419.0,2.62,1.33,7.0,55106.0,2025-04-02,2025-09-30,160,0.5076335877862596
THAMALAPAKULU,155.0,38.75,30.45,75.0,155.0,2025-08-07,2025-09-09,4,0.7858064516129032
THIS CREAMY CARAMEL 18G CONTINENTAL,15.0,7.5,3.54,10.0,150.0,2025-04-19,2025-07-26,2,0.47200000000000003
THIS CREAMY COFFEE MOCHA 22g CONTINENETAL,25.0,8.33,2.89,10.0,950.0,2025-06-26,2025-09-08,3,0.3469387755102041
THOTAPURI MANGO,502.01,3.22,1.8,8.5,34772.34,2025-04-01,2025-09-30,156,0.5590062111801242
THREE MANGO MIRCHI  PWD 500G,14.0,1.4,0.97,4.0,5232.0,2025-04-14,2025-08-23,10,0.6928571428571428
THREE MANGO RAI PWD 200G,3.0,1.5,0.71,2.0,126.0,2025-04-01,2025-04-26,2,0.47333333333333333
THREE MANGO RAI PWD 500G,4.0,1.33,0.58,2.0,309.0,2025-04-10,2025-05-06,3,0.4360902255639097
THUMS UP  600ml PET BOTTLE,9.0,2.25,0.96,3.0,360.0,2025-04-26,2025-05-01,4,0.42666666666666664
THUMS UP 1Lt PET BOTTLE,12.0,1.71,1.11,4.0,600.0,2025-05-09,2025-05-29,7,0.6491228070175439
THUMS UP 250ML,211.0,2.57,1.75,8.0,4220.0,2025-04-13,2025-09-22,82,0.6809338521400778
TIL 100G,121.0,1.68,1.09,6.0,4755.0,2025-04-05,2025-09-27,72,0.6488095238095238
TNS DATES 200g,5.0,1.67,0.58,2.0,450.0,2025-04-16,2025-04-24,3,0.3473053892215569
TOFU PANEER 200g SAI RATNA FOODS,17.0,2.83,1.17,4.0,750.5,2025-04-03,2025-04-10,6,0.41342756183745577
TOMATO (APPLE) hybrid,520.95,3.1,4.93,61.39,29094.51,2025-04-01,2025-09-30,168,1.590322580645161
TOMATO PICKLE  250g AHA,16.0,1.14,0.36,2.0,1440.0,2025-04-06,2025-09-16,14,0.31578947368421056
TONED MILK 500ml HERITAGE,14652.0,72.9,131.69,1912.0,401154.05,2025-04-01,2025-09-30,201,1.8064471879286692
TOOR  DAL FATKA POLISHED 1kg,145.0,1.58,0.83,5.0,23307.0,2025-04-02,2025-09-30,92,0.5253164556962024
TOOR DAL PRM UNPOLISHED FATKA 1KG,147.0,1.56,0.77,4.0,24365.0,2025-04-12,2025-09-30,94,0.49358974358974356
TOP MILLET ANDU KORRALU 500G,24.0,1.09,0.29,2.0,3600.0,2025-05-03,2025-09-28,22,0.2660550458715596
TOTAL CURD 120GMS HERITAGE,1979.0,11.44,4.93,27.0,19790.0,2025-04-01,2025-09-30,173,0.43094405594405594
TUTTI FRUITY KG FLYBERRY,1.42,0.12,0.07,0.25,467.94,2025-06-29,2025-09-08,12,0.5833333333333334
Thotakura,782.36,4.28,2.01,14.2,50208.8,2025-04-01,2025-09-30,183,0.469626168224299
Tulsi Infused Honey 250g BT,18.0,1.12,0.34,2.0,5184.0,2025-05-12,2025-08-22,16,0.30357142857142855
UHT BUTTER MILK 180ML MILKY MIST,163.0,3.79,2.98,14.0,3260.0,2025-04-29,2025-09-28,43,0.7862796833773087
ULAVACHARU 250g HASSTA,372.0,2.5,1.55,7.0,38286.0,2025-04-01,2025-09-30,149,0.62
URAD BLACK SPLIT 500g,11.0,1.38,0.74,3.0,935.0,2025-07-12,2025-09-23,8,0.5362318840579711
URAD BLACK WHOLE 500G,12.0,1.5,1.07,4.0,1020.0,2025-08-03,2025-09-17,8,0.7133333333333334
URAD DAL UNPOLISHED 500g,55.0,1.22,0.42,2.0,4950.0,2025-04-08,2025-09-24,45,0.3442622950819672
URAD ROUND UN POLISHED 1kg,104.0,1.33,0.6,4.0,17019.75,2025-04-02,2025-09-29,78,0.45112781954887216
USA FUJI APPLE,731.18,4.04,2.51,12.37,305790.4,2025-04-01,2025-09-30,181,0.6212871287128713
VAAKKAI,41.28,0.57,0.37,1.46,3978.69,2025-05-21,2025-09-30,72,0.6491228070175439
VAMPOOSA 250g VELLANKI FOODS,301.0,2.12,1.26,7.0,42759.0,2025-04-01,2025-09-30,142,0.5943396226415094
VANILLA FLAVOURED MIILK 180ML HERITAGE,17.0,1.89,1.05,4.0,510.0,2025-04-01,2025-04-12,9,0.5555555555555556
VELLANIKI BITTER GOURD PAKODA 150G,19.0,1.19,0.4,2.0,1938.0,2025-08-28,2025-09-30,16,0.33613445378151263
VELLANKI  PESARA MURKULU 250G,59.0,1.34,0.75,4.0,8670.0,2025-06-01,2025-09-30,44,0.5597014925373134
VELLANKI AVISELA  CHIKKI 250G,42.0,1.11,0.31,2.0,6240.0,2025-05-28,2025-09-29,38,0.27927927927927926
VELLANKI HEALTHY LADDU 250G,68.0,1.45,0.69,3.0,12010.0,2025-05-25,2025-09-23,47,0.4758620689655172
VELLANKI JONNA MURKULU 250G,91.0,1.52,0.83,4.0,13975.0,2025-05-23,2025-09-27,60,0.5460526315789473
VELLANKI JOWARI FLAKES 250G,101.0,1.51,0.73,4.0,15528.45,2025-05-24,2025-09-23,67,0.4834437086092715
VELLANKI KAKARAKAYA CHIPS 150G,30.0,1.2,0.41,2.0,2880.0,2025-05-23,2025-09-30,25,0.3416666666666667
VELLANKI MILLET BOONDI ACTHU 250g,43.0,1.34,0.6,3.0,6530.0,2025-05-26,2025-09-26,32,0.4477611940298507
VELLANKI MILLET MIXTURE 250g,98.0,1.38,0.7,4.0,13769.5,2025-05-23,2025-09-30,71,0.5072463768115942
VELLANKI MILLET MURKULU 250g,91.0,1.47,0.72,4.0,11585.0,2025-05-23,2025-09-28,62,0.4897959183673469
VELLANKI MULTI SEEDS CHIKI 250g,54.0,1.42,0.68,3.0,12880.0,2025-05-23,2025-09-28,38,0.4788732394366198
VELLANKI VAM MURKULU 250g,79.0,1.32,0.62,3.0,12057.6,2025-05-25,2025-09-29,60,0.46969696969696967
VELLANLI RAGI RIBBON PAKODI 150G,17.0,1.21,0.43,2.0,1530.0,2025-05-31,2025-07-13,14,0.35537190082644626
VENNA VUNDALU 250GMS VELLANKI FOODS,154.0,1.43,0.7,4.0,22545.0,2025-04-03,2025-09-28,108,0.4895104895104895
VINAYAKA VIGRAHAM 12 INCH,5.0,2.5,2.12,4.0,590.0,2025-08-26,2025-08-27,2,0.8480000000000001
VINAYAKA VIGRAHAM 8 INCH,9.0,3.0,2.0,5.0,801.0,2025-08-25,2025-08-27,3,0.6666666666666666
VITAMIN D3  WITH IMMUNITY BOOSTERS - 6 EGGS PACK  ABHI EGGS,108.0,1.5,0.79,4.0,10152.0,2025-04-01,2025-09-29,72,0.5266666666666667
VITAMIN D3 IMMUNITY BOOSTER 30PC PACK ABHI EGGS,42.0,1.14,0.42,3.0,18900.0,2025-04-03,2025-09-27,37,0.368421052631579
Vakai Box,64.0,3.2,2.14,7.0,3200.0,2025-05-20,2025-07-15,20,0.66875
WALNUT PREMIUM KGS FLYBERRY,20.08,0.25,0.17,0.78,47750.4,2025-04-03,2025-09-28,81,0.68
WALNUT REGULAR  KGS FLYBERRY,18.41,0.25,0.21,1.12,32957.28,2025-04-01,2025-09-01,75,0.84
WASHINGTON APPLE,483.27,3.12,2.04,9.9,164479.34,2025-04-01,2025-09-15,155,0.6538461538461539
WATER APPLE BOX,23.0,2.56,1.42,5.0,2139.0,2025-04-02,2025-08-03,9,0.5546875
WATERMELON JUICE,165.0,2.12,1.35,8.0,8250.0,2025-04-01,2025-09-30,78,0.6367924528301887
WHEAT CHAPATI 390G 10PC ID FRESH,189.0,1.64,0.85,4.0,14929.0,2025-04-04,2025-09-29,115,0.5182926829268293
WHEAT PAROTA 5PC 400G ID FRESH,121.0,1.53,0.75,4.0,13287.5,2025-04-01,2025-09-29,79,0.49019607843137253
WHEAT RAWA MEDIUM 500g,216.0,2.08,1.28,7.0,9720.0,2025-04-03,2025-09-29,104,0.6153846153846154
WHITE JOWAR 500g,55.0,1.72,1.25,5.0,2700.0,2025-04-02,2025-09-28,32,0.7267441860465116
WHITE JOWAR SORGHUM RAWA 500GMS SRI AHARYA,7.0,1.4,0.55,2.0,483.0,2025-04-03,2025-05-08,5,0.3928571428571429
WHITE LOBIYA 500g,57.0,1.24,0.6,4.0,5035.0,2025-04-06,2025-09-30,46,0.48387096774193544
WHITE PAV 200g SPENCERS AKSHAYA FOODS,74.0,1.85,1.08,4.0,2220.0,2025-06-15,2025-09-30,40,0.5837837837837838
WHITE RADISH,571.17,3.12,1.83,8.39,32145.68,2025-04-01,2025-09-30,183,0.5865384615384616
WHITE RAJMA 500g,27.0,1.29,0.64,3.0,2730.0,2025-04-20,2025-09-19,21,0.49612403100775193
WHITE ROUND BRINJAL,1381.32,7.59,2.7,17.17,93133.33,2025-04-01,2025-09-30,182,0.35573122529644274
WHITE SEEDLESS GRAPES,477.94,10.62,6.48,22.56,66994.76,2025-04-01,2025-09-24,45,0.6101694915254238
WHOLE MEAL BROWN BREAD 400g SPENCERS AKSHAYA FOODS,499.0,2.84,1.38,7.0,27445.0,2025-04-01,2025-09-30,176,0.48591549295774644
WHOLE WHEAT BREAD 400g  SPENCERS AKSHAYA FOODS,383.0,2.5,1.39,6.0,21065.0,2025-04-01,2025-09-28,153,0.5559999999999999
WOOD APPLE,26.61,1.77,3.37,12.36,2634.79,2025-08-26,2025-09-09,15,1.9039548022598871
WORKOUT TRAIL MIX KG FLYBERRY,7.08,0.2,0.12,0.56,11347.2,2025-04-02,2025-09-14,36,0.6
XTRA 50gm POUCH  CONTINENTAL,18.0,1.29,0.61,3.0,3064.8,2025-04-19,2025-09-28,14,0.4728682170542635
XTRA SACHET 2.3G CONTINENTAL,1056.0,39.11,24.14,120.0,2112.0,2025-07-02,2025-09-29,27,0.6172334441319356
YELLOW BANTHI POOLU KGS LOOSE,8.24,2.75,2.19,4.17,1449.43,2025-05-26,2025-08-27,3,0.7963636363636364
YELLOW DRAGON KG LOOSE,4.57,1.52,0.83,2.42,1206.48,2025-07-08,2025-07-10,3,0.5460526315789473
YELLOW JOWAR 500g,32.0,1.33,0.7,4.0,1920.0,2025-04-02,2025-09-30,24,0.5263157894736842
YELLOW MELON,31.02,3.88,1.52,5.89,1210.02,2025-04-05,2025-05-27,8,0.3917525773195876
YOGHURT  MANGO MILKYMIST,133.0,1.77,1.02,5.0,3990.0,2025-04-02,2025-09-30,75,0.576271186440678
YOGHURT PEACH 100GM MILKYMIST,92.0,1.67,1.28,8.0,3030.0,2025-04-02,2025-09-30,55,0.7664670658682635
YOGHURT STRAWBERRY MILKYMIST,142.0,2.03,1.26,5.0,4230.0,2025-04-02,2025-09-29,70,0.6206896551724138
YOGURT MANGO 90g AKSHAYA KALPA,43.0,1.43,0.77,4.0,2580.0,2025-04-03,2025-08-21,30,0.5384615384615385
ZUCCHIINI GREEN ENGLISH ITEM SAMBERRY,41.15,0.42,0.23,1.16,8914.9,2025-04-01,2025-09-30,97,0.5476190476190477
ZUCCHINI YELLOW ENGLISH ITEM SAMBERRY,37.13,0.38,0.21,1.23,9121.46,2025-04-01,2025-09-28,97,0.5526315789473684
chinna menthi,132.79,0.77,0.31,1.67,11743.22,2025-04-01,2025-09-30,172,0.40259740259740256
chintakayalu,32.6,0.88,0.69,3.23,2862.24,2025-04-14,2025-09-30,37,0.7840909090909091
chukkakura,527.98,2.9,1.23,5.71,46275.08,2025-04-01,2025-09-30,182,0.4241379310344828
gangavyalukura,18.43,0.47,0.21,1.16,1272.93,2025-04-01,2025-07-17,39,0.4468085106382979
koyakura,1.26,0.32,0.15,0.5,75.06,2025-04-09,2025-07-27,4,0.46875
pink Dragon Fruit,211.0,1.79,1.2,6.25,39459.03,2025-04-03,2025-09-30,118,0.6703910614525139
red thotakura,4.17,0.6,0.43,1.46,311.15,2025-04-02,2025-07-11,7,0.7166666666666667
simla mirchi bajji,17.25,0.78,0.63,2.21,1610.96,2025-04-18,2025-08-26,22,0.8076923076923077
