product,total_revenue,total_quantity,revenue_per_unit
BANANA FLOWER,3042.0,117.0,26.0
BANANA LEAF,500.0,100.0,5.0
BANANA TREE,472.0,8.0,59.0
BANANAJUICE,1150.0,23.0,50.0
BANANAS 30g FLYBERRY GOURMET,2548.0,52.0,49.0
BANDARU HALWA 250g VELLANKI FOODS,14355.0,84.0,170.89285714285714
BANGINAPALLI MANGO LOOSE KGS,670243.84,4545.75,147.44406093603914
BARNYARD MILLET UDALU 500G,1700.0,21.0,80.95238095238095
BASIL LEAF KG ENGLISH ITEM SAMBERRY,788.98,2.69,293.3011152416357
BASMATHI RICE 1KG,16940.0,121.0,140.0
BAT PAPAD 200G EVR,478.4,10.0,47.839999999999996
BEAUTY PEARS,273667.21,718.9,380.6749339268327
BEET ROOT,104431.36,2606.34,40.068202920570606
BELGIAN CHOCOLATE 125g AMUL,2142.0,12.0,178.5
BELLAM KOMMULU 250g VELLANKI FOODS,10845.0,79.0,137.27848101265823
BELLAM SUNNIVUNDALU 250g VELLANKI FOODS,14550.0,85.0,171.1764705882353
BESAN 500g,11336.5,167.0,67.88323353293413
BIG BRINJAL BLUE,20074.45,353.14,56.845585320269585
BIRYANI LEAFS 50G,2075.0,83.0,25.0
BITTER CHOCOLATE 150g 90% BITTER AMUL,2000.0,10.0,200.0
BITTER CHOCOLATE 150g AMUL,2380.0,14.0,170.0
BITTER GAURD KARAM PODI 100g VELLANKI FOODS,388.0,6.0,64.66666666666667
BITTER GOURD,42064.89,721.89,58.27049827536051
BITTER GUARD PICKLE 250G VELLANKI FOODS,230.0,2.0,115.0
BLACK GRAPES,24874.17,185.14,134.3533002052501
BLACK PEPPER WHOLE 50G,6600.0,88.0,75.0
BLACK ROUND BRINJAL,43584.51,858.6,50.76229909154438
BLACK SEEDED GRAPES,36073.39,158.4,227.73604797979797
BLUE BERRY,229863.0,768.0,299.30078125
BOMBAY RAWA 500g,3575.0,95.0,37.63157894736842
BOMBAY RAWA1Kg,9031.75,139.0,64.97661870503597
BOONDI 250g VELLANKI FOODS,32914.0,226.0,145.63716814159292
BOONDI LADDU 250g VELLANKI FOODS,39465.0,257.0,153.5603112840467
BOONDI MITAI ATCHU 250g VELLANKI FOODS,25870.0,170.0,152.1764705882353
BOORELU 250g VELLANKI FOODS,15735.0,104.0,151.29807692307693
BOTTLE GOURD,242595.43,6567.0,36.941591289782245
BRINTAN TOFU PANEER 200G,69.0,1.0,69.0
BRITANNIA MILK BIKIS 71GM,10.0,1.0,10.0
BROWN ANJEER BOX TURKEY,41151.0,319.0,129.0
BROWN CHANA 500g,7020.0,108.0,65.0
BROWN EGGS 6PC UPF HEALTHY U N V,5544.0,57.0,97.26315789473684
BROWN RICE 5kg,4740.0,12.0,395.0
BROWN RICE HMT 1kg,4335.0,51.0,85.0
BUFFALO CURD 400g SIDS FARM,28815.0,339.0,85.0
BUFFALO GHEE 250g  VELLANKI FOODS,44775.0,199.0,225.0
BUFFALO GHEE 350g SIDS FARM,18230.0,45.0,405.1111111111111
BUFFALO GHEE 500ml JIVIKA ORGANICS,998.0,2.0,499.0
BUSH BEANS,246068.31,2194.86,112.11116426560235
BUTTER GARLIC N HERBS 100g AMUL,5209.1,76.0,68.54078947368421
BUTTER MILK 170ML HERITAGE SACHET,200.0,20.0,10.0
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,3520.0,176.0,20.0
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,3320.0,166.0,20.0
BUTTER SCHOOL PACK 100g AMUL,3710.0,50.0,74.2
BUTTER UNSALTED 500G AMUL,3349.0,11.0,304.45454545454544
BUTTON MUSHROOM,168699.54,3457.0,48.79940410760776
Banana Stem,5916.0,204.0,29.0
Banana Yalakki,224911.6,1637.34,137.3640172474868
Beetroot Juice,980.0,14.0,70.0
Black Chilly,253825.32,3193.21,79.48907838820497
CABBAGE,78451.57,3125.76,25.09839846949222
CALIFORINA RED GRAPES,123298.41,288.99,426.6528599605523
CALIFORNIA BLACK seedless GRAPES,427.18,1.22,350.1475409836066
CALIFORNIAN ALMOND PREMIUM KG FLYBERRY,39896.82,22.2,1797.154054054054
CALIFORNIAN ALMOND REGULAR KG  FLYBERRY,19940.55,18.98,1050.6085353003161
CAPSICUM,137833.5,1889.74,72.93781155079535
CAPSICUM RED SAMBERRY,58228.08,174.75,333.20789699570815
CAPSICUM YELLOW SAMBERRY,66726.47,197.74,337.44548396884795
CARROT,410615.81,6576.82,62.43379171088763
CARROT JUICE,4060.0,58.0,70.0
CARROT N BEETROOT JUICE,2940.0,42.0,70.0
CARRY BAG 8Kg HOLDING CAPACITY,40185.6,3350.0,11.995701492537313
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,53298.0,8949.0,5.955749245725779
CARRY BAG SML 1Kg HOLDING CAPACITY,12.0,4.0,3.0
CASHEW 320 COUNT 250 GM,1500.0,5.0,300.0
CASHEW 320 KG FLYBERRY,34506.9,29.98,1150.9973315543696
CASHEW BROKEN 2 PIECE  KGSFLYBERRY,25410.0,23.45,1083.5820895522388
CASHEW TIKKA FLAVOUR FLYBERRY,12682.8,7.05,1798.9787234042553
CASHEW WITH CHOCO COATED FLYBERRY,233.2,0.21000000000000002,1110.4761904761904
CAULIFLOWER,127826.1,3671.0,34.82051212203759
CDM CRACKLE 36G,50.0,1.0,50.0
CHAKKI ATTA GODHUMA PINDI 1Kg,520.0,8.0,65.0
CHAMA DUMPA,38453.09,859.72,44.72745777695063
CHAMANTHI FLOWERS POOLU KG LOOSE,1308.87,3.0,436.28999999999996
CHANA DAL 1Kg,4113.0,32.0,128.53125
CHANA DAL 250g VELLANKI FOODS,5250.0,40.0,131.25
CHANA DAL 500g,7445.0,115.0,64.73913043478261
CHAT MURMURA 500 GM,4680.0,74.0,63.24324324324324
CHEDDAR CHEESE 200g MILKY MIST,900.0,6.0,150.0
CHEESE BLOCK 200G HERITAGE,4217.0,32.0,131.78125
CHEESE BLOCK 200G MILKY MIST,1570.0,11.0,142.72727272727272
CHEESE CUBES 120g HERITAGE,1178.35,13.0,90.64230769230768
CHEESE CUBES 120g MILKY MIST,1373.0,12.0,114.41666666666667
CHEESE CUBES 200g MILKY MIST,845.0,5.0,169.0
CHEESE EASY OPEN CHIPLET CUBES 60X8X25g AMUL,2025.0,15.0,135.0
CHEESE SLICE 100G MILKY MIST,8664.47,110.0,78.76790909090909
CHEESE SLICES 100g AMUL 5PC PACK,6415.0,75.0,85.53333333333333
CHEESE SLICES 100g HERITAGE,2070.0,36.0,57.5
CHEESE SLICES 200g AMUL 10PC PACK,10199.57,72.0,141.66069444444443
CHEESE SLICES 200g HERITAGE,1935.0,9.0,215.0
CHEESE SLICES 200g MILKYMIST,8514.0,57.0,149.3684210526316
CHEESE SPREAD 200g AMUL,550.0,5.0,110.0
CHEESE SPREAD GARLI 200g MILKY MIST,715.0,6.0,119.16666666666667
CHEESE SPREAD GARLIC200G AMUL,224.0,2.0,112.0
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,355.0,3.0,118.33333333333333
CHEESE SPREAD PEPPER 200g MILKY MIST,240.0,2.0,120.0
CHEGODI 250g VELLANKI FOODS,51264.0,352.0,145.63636363636363
CHEKKARAKELI BANANA,105288.19,858.44,122.65061040958017
CHERRY LOCAL ANAND,60574.0,298.0,203.26845637583892
CHERRY TOMATO KG RED SAMBERRY,4324.5,16.31,265.1440833844268
CHERUKU GADDALU,1920.0,60.0,32.0
CHERUKU RASALU KG LOOSE,76365.67,461.89,165.33302301413755
CHIA SEEDS KGS FLYBERRY,9326.2,11.17,834.9328558639213
CHICKEN BONE LESS PICKLE 250g VELLANKI FOODS,2125.0,6.0,354.1666666666667
CHICKPEAS 50g FLYBERRY GOURMET,147.0,3.0,49.0
CHICOOS SAPOTA JUICE,2640.0,45.0,58.666666666666664
CHICOOS(Sapota),25203.0,308.55,81.68206125425377
CHIKKUDU SEED PACK,2284.98,7.61,300.2601839684625
CHIKKUDUKAI,107260.2,1027.96,104.3427759835013
CHIKKUDUKAYA PICKLE 250g AHA,270.0,3.0,90.0
CHINNA RASALU KG LOOSE,123437.86,889.21,138.8174446981028
CHINTA CHIGURU,27442.06,58.76,467.01940095302933
CHOCOLATE 150G HBD PACK AMUL,3000.0,15.0,200.0
CHOCOLATE MILK SHAKE 180ML HERITAGE,6424.0,247.0,26.008097165991902
CHOUSA MANGO KG LOOSE,13006.95,57.57,225.93277748827515
CHOWCHOW,1141.94,24.41,46.781646866038514
CINNAMON DALCHINI KG FLYBERRY,927.1999999999999,0.98,946.1224489795918
CLOVES 50g,6210.0,69.0,90.0
CLUSTER BEANS,63949.94,1078.97,59.269432885066315
COCONUT,162488.22,3696.0,43.96326298701299
COCONUT KARAM 100G  VELLANKI FOODS,772.0,12.0,64.33333333333333
COCONUT MANGO,59162.729999999996,310.07,190.804431257458
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,70.0,1.0,70.0
COCONUT SLICE KGS FLYBERRY,657.06,1.4000000000000001,469.32857142857137
COFFEE XTRA 100g JAR INSTANT SOUTH BLEND CONTINENTAL,2174.0,9.0,241.55555555555554
COKE 250ML,340.0,17.0,20.0
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,2396.0,4.0,599.0
COLD PRESSED WHITE SESAME OIL 500ML MESMARA,1400.0,4.0,350.0
COLOUR CUCUMBER,95482.76,2629.25,36.315588095464484
CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,1193.7,10.0,119.37
CONTINENTAL XTRA INSTANT SOUTH BLEND COFFEE 150g POUCH,4258.0,12.0,354.8333333333333
COOKING BUTTER 100G MILKY MIST,6141.75,82.0,74.89939024390245
COOKING BUTTER 100g AMUL UNSALTED,2558.0,40.0,63.95
COOKING BUTTER 200G HERITAGE,3630.0,28.0,129.64285714285714
COOKING BUTTER 500g HERITAGE,5120.0,17.0,301.1764705882353
COOKING BUTTER UNSALTED 200g MILKY MIST,3334.0,23.0,144.95652173913044
COOKING UNSALTED BUTTER 500g MILKY MIST,5680.0,16.0,355.0
COPRA POWDER 100G EVR,2136.75,41.0,52.11585365853659
CORIANDER,188619.91,1993.76,94.60512298370918
CORIANDER 200g,6945.0,103.0,67.42718446601941
CORN FLAKES 200G EVR,490.0,10.0,49.0
