product,total_revenue,total_quantity,revenue_per_unit
GRAPE JUICE,370.0,7.0,52.857142857142854
GREEK CEREALS YOGHURT 100g MILKY MIST,1520.0,38.0,40.0
GREEK HONEY AND FIG YOGHURT 100g MILKY MIST,640.0,16.0,40.0
GREEK YOGHURT 100g MILKY MIST,2760.0,69.0,40.0
GREEK YOGURT 85g  ALPHONSO MANGO  EPIGAMIA,9660.0,162.0,59.629629629629626
GREEK YOGURT ALPHONSO MANGO SMOOTHIE 180ml EPIGAMIA,6880.0,87.0,79.08045977011494
GREEK YOGURT BLUEBERRY 90g EPIGAMIA,10620.0,182.0,58.35164835164835
GREEK YOGURT BLUEBERRY SMOOTHIE 180ml EPIGAMIA,6000.0,75.0,80.0
GREEK YOGURT MIXED BERRY ZERO ADDED SUGAR 120g EPIGAMIA,2340.0,33.0,70.9090909090909
GREEK YOGURT NATURAL 90g EPIGAMIA,9975.0,170.0,58.6764705882353
GREEK YOGURT STRAWBERRY 85g EPIGAMIA,8340.0,139.0,60.0
GREEK YOGURT STRAWBERRY SMOOTHIE 180ml EPIGAMIA,5200.0,66.0,78.78787878787878
GREEK YOGURT STRAWBERRY ZERO ADD SUGAR 120g EPIGAMIA,2170.0,31.0,70.0
GREEK YOGURT VANILLA BEAN 90g EPIGAMIA,4620.0,77.0,60.0
GREEK YOGURT WILD RASBERRY 85g EPIGAMIA,7409.99,120.0,61.749916666666664
GREEN APPLE,57267.08,151.97,376.8314798973482
GREEN CHILLY,158356.02,2066.47,76.63117296645972
GREEN PEAS,58912.81,329.22,178.94663143186924
GREEN PEAS BATANI 500G EVR,5610.0,35.0,160.28571428571428
GREEN PEAS SEED PAC,9988.7,22.5,443.94222222222226
GROUND NUT,40331.22,355.66,113.39824551537986
GROUND NUT OIL 1Lt. COLD PRESSED MESMARA,13440.0,32.0,420.0
GUAVA HYBRID BIG ANAND,208875.02,1628.11,128.292940894657
GUAVA Local,1940.93,15.05,128.96544850498339
GULAB JAM MIX 200g MILKY MIST,1470.0,12.0,122.5
GULABI ROUND BRINJAL,64226.23,878.02,73.1489373818364
Ginger Imbued Honey 250g BT,3600.0,16.0,225.0
Ginger Imbued Honey 500g BT,3240.0,8.0,405.0
Green Kiwi Small,117932.0,3043.0,38.7551758133421
HAZELNUT CHOCOLATE SPREAD 200g,499.0,1.0,499.0
HEKATPY BUCK WHEAT COOKIES 125g,500.0,4.0,125.0
HEKATPY PEARL MILLET COOKIE 125g,125.0,1.0,125.0
HEKATPY QUINO COOKIES 125g,625.0,5.0,125.0
HEKTAPY HEALTHY DEL JOWAR 125G,375.0,3.0,125.0
HEKTAPY HEALTHY DEL RAGI 125G,625.0,5.0,125.0
HEKTAPY MULTI MILLET S.N,625.0,5.0,125.0
HEKTAPY OAT COOKIES  125g,125.0,1.0,125.0
HEKTAPY RAJGIRI COOKIES 125g,375.0,3.0,125.0
HIMALAYAN HONEY 225g APIS,495.0,3.0,165.0
HIMALAYAN HONEY 500g APIS,2275.0,7.0,325.0
HIMAYATH MANGO KG LOOSE,193772.48,617.9,313.5984463505422
HOME DELIVERY CHARGES,30.0,30.0,1.0
HULLED WHITE SESAME OIL 1Lt. MESMARA,3500.0,5.0,700.0
I.Orange Pack of 4,2407.0,23.0,104.65217391304348
ICE BERG ENGLISH ITEM SAMBERRY,15235.21,67.31,226.3439310652206
IDLI KARAM 100g VELLANKI FOODS,2584.0,44.0,58.72727272727273
IDLI POWDER AKA GUNDPOWDER AKA KARAM PODI PREMIUM KG LOOSE FLYBER,73.51,0.09,816.7777777777778
IDLY . DOSA BATTER 1KG ID FRESH,61655.0,650.0,94.85384615384615
IDLY BATTER 900g DSL,21280.0,266.0,80.0
IDLY KARAM FLYBERRY,631.0,1.28,492.96875
IDLY RAVA1KG,10799.75,167.0,64.66916167664671
IDLY RAWA 500g,665.0,19.0,35.0
IDLY RAWA ORANGE 1KG AISHWARYA,360.0,6.0,60.0
IDLY RICE  1Kg,1610.0,23.0,70.0
IGURU KARAM 100g VELLANKI FOODS,444.0,7.0,63.42857142857143
IMLI POP KG FLYBERRY,620.16,1.3,477.0461538461538
IMP ORANGE CANE,200.0,2.0,100.0
IMP Orange Juices,7800.0,52.0,150.0
IMPORTED ORANGE,100960.52,510.84,197.63628533395976
IMPORTED PLUMS,76389.38,231.75,329.61976267529667
INDIAN RAISINS GREEN FLYBERRY,3633.6,6.04,601.5894039735099
INDIAN RAISINSGOLDEN KGS FLYBERRY,7728.0,12.86,600.9331259720062
INSIDE YELLOW MELON Kg,4048.74,101.48,39.89692550256208
IODIZED SALT 1KG PON,80.0,4.0,20.0
IRANIAN DATES 500g ORIGINAL AM ENTERPRISES,2738.0,12.0,228.16666666666666
JACK FRUIT SEEDS ANAND,12180.0,145.0,84.0
JAGGERY KESAR 450G,8600.0,169.0,50.887573964497044
JAGGERY KESAR 900G,10681.0,112.0,95.36607142857143
JAGGERY MINI CUBES 500G EVR,3335.0,29.0,115.0
JAGGERY POWDER 500g JIVIKA ORGANICS,7220.0,76.0,95.0
JANTHIKALU 250g VELLANKI FOODS,42697.41,286.0,149.29164335664336
JAVATRI 50g,9720.0,54.0,180.0
JEERA 100g,3380.0,52.0,65.0
JEERA 200g,20625.0,165.0,125.0
JEERA PAPAD 200G EVR,748.0,11.0,68.0
JIVIKA COLD PRESSED SAFFLOWER OIL 1LTR,1619.99,5.0,323.998
JIVIKA CORIANDER POWDER 100GMS,1100.0,20.0,55.0
JIVIKA FOREST HONEY250ml,3080.0,11.0,280.0
JIVIKA NATURALS PEANUT BUTTER500GMS,1596.0,4.0,399.0
JIVIKA RED CHILLI POWDER 200GMS,6800.0,41.0,165.85365853658536
JIVIKA RED CHILLI POWDER 500GMS,3192.0,8.0,399.0
JIVIKA TURMERIC POWDER 100GMS,2760.0,46.0,60.0
JOWAR FLOUR 500g,4450.0,89.0,50.0
JUBJUB GUAVA JUICE,140.0,2.0,70.0
JUJUBIES FLYBERRY,7689.14,13.05,589.2061302681992
KABULI CHANA 500g,13794.0,115.0,119.94782608695652
KAJJIKAYALU 250g VELLANKI FOODS,19015.0,130.0,146.26923076923077
KAJU PAKODI 250g VELLANKI FOODS,15420.0,68.0,226.76470588235293
KALA JAMUN BOX PACK ANAND,67282.0,604.0,111.39403973509934
KANDI KARAM 100g  VELLANKI FOODS,1056.0,18.0,58.666666666666664
KANDI KARAM 250GM AHA,240.0,2.0,120.0
KARAM GAVVALU 250G VELLANKI FOODS,5335.0,39.0,136.7948717948718
KARAM SAKINALU 250g  VELLANKI FOODS,4245.0,29.0,146.3793103448276
KARAN PHOOL 50g,5610.0,88.0,63.75
KARIVEPAKU KARAM 100g VELLANKI FOODS,1224.0,20.0,61.2
KARIVEPAKU KARAM 250g AHA,240.0,2.0,120.0
KARPURAVALLI BANANA,80638.42,1028.6,78.39628621427183
KASOORI METHI PAPAD 200G EVR,375.0,5.0,75.0
KASURIMETHI 50G,3056.0,86.0,35.53488372093023
KEERA JUICE,720.0,18.0,40.0
KESARI MANGO KG LOOSE,146626.91,628.36,233.34857406582213
KHUS KHUS 50G,9565.0,78.0,122.62820512820512
KIMIA DATES PLASTIC BOX 400G ORIGINAL,23985.0,95.0,252.47368421052633
KIMJO KIMIA DATES 400g ELEPHANT,13392.79,66.0,202.92106060606062
KINELY WATER 500ml,2650.0,265.0,10.0
KINLEY SODA 750ML,3460.0,173.0,20.0
KINLEY WATER 1Lt,1780.0,89.0,20.0
KIRAN MELON,384004.46,13239.4,29.00467241717903
KISMIS GREEN 250g,1110.0,6.0,185.0
KNOOL COOL,1078.2,23.93,45.05641454241538
KOBBARI KARAM 250g AHA,240.0,2.0,120.0
KOBBARI VUNDALU 250g VELLANKI FOODS,16120.0,123.0,131.0569105691057
KODO MILLET ARIKALU 500G,2100.0,28.0,75.0
KOTHIMEERA CORIANDER KARAM 100g VELLANKI FOODS,844.0,14.0,60.285714285714285
KOVA KAJJIKAYALU 250g VELLANKI FOODS,10040.0,55.0,182.54545454545453
KP MALABAR  PAROTA 5PC ID FRESH,18682.0,178.0,104.95505617977528
KURA KARAM 100g VELLANKI FOODS,840.0,14.0,60.0
KURNOOL MURMURA 500g,10948.0,136.0,80.5
Kashmir Comb Honey 500g BT,11700.0,10.0,1170.0
L G HING 50g,6603.0,69.0,95.69565217391305
LAB LAB,57499.51,681.53,84.36827432394759
LADIES FINGER,308770.39,5703.03,54.14146339752728
LAKSHMAN FRUIT ANAND,5111.97,11.91,429.2166246851386
LAL MICHI WITHOUT STEM 200G EVR,13840.0,121.0,114.3801652892562
LAL MIRCHI WITH STEM 200G EVR,9712.0,96.0,101.16666666666667
LANGADA MANGO KG LOOSE,20394.18,95.32000000000001,213.95488879563575
LASSI 200ml MILKY MIST UHT ROSE,1120.0,32.0,35.0
LASSI BLUBERRY 180ml MILKYMIST,1355.0,41.0,33.048780487804876
LEAF ONION,17179.96,231.71,74.14423201415562
LEMON,282952.05,1700.1,166.4325922004588
LEMON JUICE,300.0,15.0,20.0
LEMON PICKLE  250g AHA,825.0,11.0,75.0
LEMON PICKLE 500g  AHA,450.0,3.0,150.0
LETTUCE RED ENG ITEM SAMBERRY,275.15000000000003,0.95,289.6315789473685
LETTUCE ROCKET ARUGULA KG ENGLISH ITEM SAMBERRY,36.66,0.12,305.5
LIME PICKLE 250g VELLANKI FOODS,1210.0,12.0,100.83333333333333
LITTLE MILLET SAMELU 500g,2470.0,25.0,98.8
LOBIA,18712.45,407.08,45.96750024565196
LONG CHILLIES,24464.83,315.46,77.55287516642365
LOTUS ECLAIRS  250G,300.0,6.0,50.0
LOTUS KAJOOS 13.5 G,591.5,122.0,4.848360655737705
LOTUS TANGO 20G,987.7,177.0,5.580225988700565
LOW GI RICE 1Kg AISHWARYA,720.0,6.0,120.0
LOW GI RICE 5KG AISHWARYA,3000.0,5.0,600.0
LYCHEE LOCAL ANAND,49892.05,107.83,462.6917369934156
Lotus Stem SAMBERRY,2846.25,10.02,284.0568862275449
MAAZA 600ML,504.0,12.0,42.0
MAGAYA PICKLE 250GMS VELLANKI FOODS,2270.0,16.0,141.875
MAIDA 1 KG,2275.0,35.0,65.0
MAIDA 500g,1200.0,30.0,40.0
MALGUDI COFFEE 200g 60 DEGREES CONTINENTAL,1126.98,7.0,160.99714285714285
MALGUDI COFFEE 200g 80 DEGREES CONTINENTAL,1000.0,5.0,200.0
MALGUDI COFFEE 500g 80 DEGREE CONTINENTAL,1598.0,4.0,399.5
MALGUDI FILTER COFFEE 500g 60 DEGREE CONTINENTAL,1800.0,5.0,360.0
MALLIKA MANGO Kg LOOSE,40468.19,278.05,145.54285200503506
MANGO AVAKAYA 250g  AHA,1470.0,17.0,86.47058823529412
MANGO AVAKAYA pPICKLE 500g AHA,1050.0,6.0,175.0
MANGO BELLAM AVAKAI 250g AHA,180.0,2.0,90.0
MANGO GINGER,2403.42,19.080000000000002,125.96540880503144
MANGO JELLY ROLLS 250g VELLANKI FOODS,22480.0,148.0,151.8918918918919
MANGO JUICE,1190.0,17.0,70.0
MANGO MAGAYA  250g AHA,1700.0,17.0,100.0
MANGO MAGAYA 500g AHA,1000.0,5.0,200.0
MANGO PICKLE 250G VELLANKI FOODS,7555.0,63.0,119.92063492063492
MARATHI MOGGA 50gms EVR,210.0,5.0,42.0
MAREDUKAYA KG LOOSE,1176.74,9.120000000000001,129.0285087719298
MASALA KARAM 250g AHA,140.0,1.0,140.0
MASALA PALLI 250GMS VELLANKI FOODS,20220.0,134.0,150.8955223880597
MASOOR DAL 500g,4360.0,59.0,73.89830508474576
MASTI BUTTER MILK 1Lt AMUL,840.0,12.0,70.0
MASTI BUTTER MILK 200ml AMUL tetra,2625.0,175.0,15.0
MEDJOUL DATES LARGE FLYBERRY loose kgs,39455.28,20.02,1970.7932067932068
MENTI BIG,70809.16,614.62,115.20803097849078
METHI 100G,3275.0,101.0,32.42574257425743
MILK BREAD 350g SPENCERS GOLDEN CRUST NANDA,55.0,1.0,55.0
MILK CHOCOLATE SMOOTH N CREAMY 150g AMUL,4160.0,21.0,198.0952380952381
MILK SHAKE CHOCOLATE 220ML MILKY MIST,9691.2,243.0,39.88148148148149
MILK SHAKE STRAWBERRY 180ML HERITAGE,1200.0,60.0,20.0
MILK SHAKE STRAWBERRY 180ML MILKY MIST,5788.0,145.0,39.91724137931035
MILK SHAKE STRAWBERRY 180ml EPIGAMIA,9866.0,247.0,39.94331983805668
MILK SHAKE VANILA 180ml EPIGAMIA,3280.0,82.0,40.0
MILK SHAKE VANILLA 180ML MILKY MIST,2320.0,58.0,40.0
MILKSHAKE CHOCOLATE 180ml EPIGAMIA,18150.4,454.0,39.97885462555067
MILLET DOSA BATTER 1Kg DSL,480.0,4.0,120.0
MILLET IDLY RAWA 500GMS SRI AHARYA,1068.0,12.0,89.0
MILLET MOONG MIX 250g VELLANKI,10650.0,69.0,154.34782608695653
MILLETS UPMA RAWA 500GMS SRI AHARYA,623.0,7.0,89.0
MINI MEDJOUL FLYBERRY loose kgs,6517.84,5.2299999999999995,1246.2409177820268
MINUTE MAID PULPY 250 ML,2825.0,113.0,25.0
MISHTI DAHI 80g  EPIGAMIA,3920.0,113.0,34.690265486725664
MIXED SPROUTS ANAND,53400.0,1780.0,30.0
MIXTURE 250g VELLANKI FOODS,37369.5,257.0,145.40661478599222
MODERN  CRUST PIZZA BASE 150g,210.0,6.0,35.0
MODERN 100% WHOLE WHEAT BREAD 400G,10450.0,191.0,54.712041884816756
MODERN BANANA PUDDING  CAKE 140g,1980.0,33.0,60.0
MODERN BURGER BUN,630.0,14.0,45.0
MODERN CHOCO CHEER CAKE 120g,4375.0,125.0,35.0
MODERN FRUIT & NUT CAKE 140g,3660.0,61.0,60.0
MODERN HI FIBER  BROWN BREAD 400g,5335.0,98.0,54.43877551020408
MODERN MILK PLUS BREAD 450g,9790.0,178.0,55.0
MODERN SANDWICH SUPREME BREAD 400g,5830.0,109.0,53.48623853211009
MODERN WOW PAV 200g,1890.0,63.0,30.0
MODREN FRUITY BREAD 200G,3000.0,100.0,30.0
MOONG DAL 500G,8960.0,112.0,80.0
MOONG DAL1kg,11200.0,70.0,160.0
MOONG GREEN 500g,11338.94,129.0,87.89875968992249
MOONGDAL RICE RAWA 500G AISHWARYA,70.0,1.0,70.0
MOUSAMBI,137279.59,1680.51,81.68924314642578
MOUSAMBI JUICE,9900.0,110.0,90.0
MOZZARELLA CHEESE 200g MILKY MIST,4370.0,26.0,168.07692307692307
MUKHWAS TINIMINI KG FLYBERRY,907.0600000000001,2.93,309.57679180887374
MULAGAKU KARAM 100g VELLANKI FOODS,888.0,13.0,68.3076923076923
MULBERY BOX PACK ANAND,13020.0,155.0,84.0
MULTIGRAIN HEALTH MIX 500GMS SRI AHARYA,954.0,6.0,159.0
MUNAGAKU KARAM 250g AHA,240.0,2.0,120.0
MURUKULU 250g VELLANKI FOODS,44517.89,299.0,148.88926421404682
MUSK MELON - H,67430.56,1538.89,43.817660781472355
MUSK MELON - LOCAL,5133.32,78.91,65.0528450133063
MUSK MELON JUICE,4000.0,80.0,50.0
MUSTARD BIG 200g,2440.0,58.0,42.06896551724138
MUSTARD OIL 1Lt. MESMARA,4792.0,8.0,599.0
MUSTARD SMALL 200g,2916.0,62.0,47.03225806451613
MYSORE PAK 250g HARD VELLANKI FOODS,11625.0,79.0,147.15189873417722
Mango Juices,560.0,7.0,80.0
Mango Milk Shake,60.0,1.0,60.0
Moosambi Economy,106.53,2.17,49.092165898617516
NAGPUR ORANGE,86418.26,598.51,144.38899934838182
NAGPUR ORANGE JUICE,3090.0,36.0,85.83333333333333
NALLA KARAM 100g VELLANKI FOODS,434.0,7.0,62.0
NALLA KARAM 250g AHA,480.0,4.0,120.0
NANDA CREAM BUN VANILLA 60g,2010.0,134.0,15.0
NANDA CRM BUN CHOCOLATE 60g,1485.0,99.0,15.0
NANDA CRM BUN PINEAPPLE 60g,1365.0,91.0,15.0
NANDA MUFFIN FRUIT 240g,6427.25,87.0,73.8764367816092
NANDA MUFFIN VANILLA 240g,7187.0,97.0,74.09278350515464
NANDA OSMANIA COOKIES 300g,10148.64,143.0,70.96951048951048
NANDAS Mr BREADRY ZERO MAIDA 450g,180.0,3.0,60.0
NARINJAAKAYA KG LOOSE,459.65,4.03,114.05707196029775
NATU DONDAKAI,39005.01,743.5,52.461344989912575
NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,4030.0,26.0,155.0
NATURAL COW GHEE 500ml JIVIKA ORGANICS,2994.0,6.0,499.0
NATURAL CURD 450g SIDS FARM,53340.0,1067.0,49.990627928772255
NATURAL ROCK SALT 1Kg JIVIKA ORGANICS,9680.0,85.0,113.88235294117646
NATURAL THICK CURD  POUCH 400 GMS ID FRESH,4642.0,97.0,47.855670103092784
NATURAL THICK CURD CUP 400g ID FRESH,1100.0,14.0,78.57142857142857
NAVARATAN MIXTURE 250g VELLANKI FOODS,21785.0,139.0,156.72661870503597
NEELAM MANGO Kg LOOSE,57965.95,382.65,151.4855612178231
NETHI BHERAKAI,19950.29,341.48,58.42301159657959
NUTMEG 50G,2480.0,31.0,80.0
NUTRI+ WITH IMMUNITY BOOSTERS - 30 EGGS TRAY ABHI EGGS,22910.0,58.0,395.0
NUTRI+ WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,8064.0,96.0,84.0
NUVULA KARAM FLYBERRY,31.9,0.06,531.6666666666666
NUVVULA CHIKKI 250g VELLANKI FOODS,23915.0,153.0,156.30718954248366
NUVVUNDALU 250g VELLANKI FOODS,12280.0,78.0,157.43589743589743
OKRA CHIPS VACUUM FRIED 20g FLYBERRY,196.0,4.0,49.0
OLIVE OIL 1LTR MESMARA,2997.0,3.0,999.0
OMANI SEEDLESS 250g FLYBERRY,5211.0,35.0,148.88571428571427
ONION,443523.94,13298.94,33.35032265729449
ONION WHITE,3798.56,84.43,44.99064313632594
ORANGE DRAGES KG LOOSE FLYBERRY,322.28,0.12,2685.6666666666665
ORANGE JUICE,120.0,1.0,120.0
ORGANIC CURD. 1KG TUB AKSHAYAKALPA,12555.0,81.0,155.0
ORGANIC GREEK YOGHURT NATURAL 100g AKSHAYAKALPA,2940.0,49.0,60.0
ORGANIC MALAI PANEER 200g AKSHAYAKALPA,32593.0,233.0,139.88412017167383
ORGANIC- CHEESE SLICES AKSHAYAKALPA,2160.0,18.0,120.0
ORGANIC-PROBIOTIC CURD AKSHAYAKALPA,15675.0,285.0,55.0
OUTSIDE YELLOW MELON Kg,6451.6,161.7,39.898577612863335
PALAK GREEN,163396.09,1822.96,89.63229582656777
PALLI GROUND NUT KARAM 100g VELLANKI FOODS,1628.0,25.0,65.12
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,45715.0,303.0,150.87458745874588
PALLI PEANUT VUNDALU 250g VELLANKI FOODS,12400.0,82.0,151.21951219512195
PANASA POTTU,6240.0,97.6,63.9344262295082
PANDU MIRAPAKAI PICKLE 500g AHA,525.0,3.0,175.0
PANDUMIRAPAKAYA 250g PICKLE AHA,1170.0,13.0,90.0
PANEER 200G HERITAGE,163385.4,1407.0,116.1232409381663
PANEER 200G ID FRESH,39895.0,302.0,132.10264900662253
PANEER 200g SINGLE BLOCK MILKY MIST,35820.2,280.0,127.9292857142857
PANEER 500G HERITAGE,123009.96,448.0,274.5758035714286
PANEER 500g MILKY MIST,7660.0,24.0,319.1666666666667
PAPPAYA,223167.08,3768.19,59.22394571399
PAPPAYA JUICE,1550.0,31.0,50.0
PARSLEY PACK,50.0,1.0,50.0
PARVAL,26222.33,349.78,74.96806564126022
PASTEURISED BUTTER 100g AMUL,5954.0,97.0,61.381443298969074
PASUPU KOMMULU,6793.03,37.56,180.8580937167199
PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,9800.0,20.0,490.0
PERI PERI CASHEW FLYBERRY,575.0999999999999,0.33,1742.7272727272723
PERSIMMON FRUIT,4298.29,5.8,741.0844827586207
PGB SOYA CHUNKS 200G MEDIUM,1260.0,18.0,70.0
PGB SOYA CHUNKS SMALL 200G,1400.0,20.0,70.0
PHOOL MAKHANA 250g,0.0,1.0,0.0
PINE APPLE,66681.0,706.0,94.44900849858357
PINE APPLE JUICE,6900.0,70.0,98.57142857142857
PINK LADY APPLE,236727.24,648.13,365.2465400459784
PISTA FLAVOURED MILK 200ML HERITAGE,7080.0,236.0,30.0
PISTA GREEN SHELLED KG FLYBERRY,27287.05,10.14,2691.0305719921103
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,6330.0,212.0,29.858490566037737
PLAIN CUP PAPAD 200G EVR,468.0,9.0,52.0
PLUMS LOCAL BOX ANAND,3554.0,50.0,71.08
POHA MEDIUM 500g,11552.25,212.0,54.491745283018865
POKCHOY LEAF SAMBERRY,1061.06,4.66,227.69527896995706
POMEGRANATE CANE,500.0,5.0,100.0
POMEGRANATE JUICE,12420.0,69.0,180.0
POMEGRANATE SEEDS,1089.0,11.0,99.0
PONAGANTI KURA,7518.32,107.18,70.14666915469303
POOJA GINGELLY OIL 1LTR,5940.0,22.0,270.0
POOJA OIL 500ML,3892.0,28.0,139.0
POOJA PATRI PACK,1947.0,59.0,33.0
POPU SEEDS LOOSE,100.0,1.0,100.0
POTATO,487956.76,9951.98,49.031123454830094
POTATO CHIPS 200G EVR,680.0,10.0,68.0
PREMIUM FREEZE DIRED COFFEE 50gm JAR CONTINENTAL,1200.0,4.0,300.0
PREMIUM MILK BREAD 400g SPENCERS AKSHAYA  FOODS,43120.0,784.0,55.0
PREMIUM SANDWICH BREAD 400g SPENCERS AKSHAYA FOODS ENGLISH RECIPE,5555.0,101.0,55.0
PRM BROWN BREAD 400g MR BREADY NANDAS,2145.0,39.0,55.0
PRM CHITTIMUTYALU RICE 1KG GAJANAN,850.0,5.0,170.0
PRM HMT RAW RICE 26KG BAG GAJANAN,43428.0,24.0,1809.5
PRM HMT RICE 26KG BAG GAJANAN,8210.0,5.0,1642.0
PROSO MILLET VARIGALU 500g,3750.0,25.0,150.0
PUDHINA,35355.33,556.6,63.520176068990295
PULIHORA PASTE 250G VELLANKI FOODS,2665.0,23.0,115.8695652173913
PUMPKIN,47868.92,1242.06,38.53994170974027
PUMPKIN SEEDS KG FLYBERRY,23855.56,21.79,1094.79394217531
PURE O FRESH EGGS 30 pack,196234.74,787.0,249.34528589580685
PURE O FRESH EGGS 6 PACK,100072.8,1855.0,53.94760107816712
PUTNALU KOBBARIKARAM 250g AHA,360.0,3.0,120.0
Pomogranate Pack of 4,29393.0,127.0,231.44094488188978
QUINOA SEEDS KGS FLYBERRY,55.8,0.12,465.0
RAGI FLOUR 500G,8124.0,169.0,48.071005917159766
RAGULU 500g,3240.0,72.0,45.0
RAISIN N ALMOND 150G CHOCOLATE AMUL,2750.0,11.0,250.0
RASAM PODI 100g VELLANKI FOODS,728.0,12.0,60.666666666666664
RAW BANANA(GREEN PLANTIN),128694.31999999999,2133.14,60.33092999053039
RAW HONEY 500g BT ROYAL BEE PON,1140.0,3.0,380.0
RAW HONEY 950G BT ROYAL BEE PON,2160.0,3.0,720.0
RAW MANGO,61097.94,999.98,61.09916198323967
RAW PEANUT 1KG,29674.0,175.0,169.56571428571428
RAW PEANUT500g,24895.5,280.0,88.9125
RED BANTHI POOLU KGS LOOSE,1451.33,8.11,178.95561035758323
RED BULL CAN 250ml,3000.0,24.0,125.0
RED CHERRY FLYBERRY,5771.13,9.78,590.0950920245399
RED CHILLI PAPAD 200G EVR,408.0,6.0,68.0
RED CHILLI PICKLE 250G VELLANKI FOODS,2295.0,19.0,120.78947368421052
RED LOBIYA 500g,4270.0,45.0,94.88888888888889
RED RAJMA 500g,4900.0,49.0,100.0
RED RICE 1KG,1183.0,11.0,107.54545454545455
RED SEEDLESS GRAPES,122.95,0.28,439.10714285714283
REDCHILLY,33.49,0.6,55.81666666666667
RIBBON PAKODI 250g VELLANKI FOODS,32950.0,232.0,142.02586206896552
RICE FLOUR 500G,6495.0,135.0,48.111111111111114
RICE RAVA IDLY BATTER 1KG ID FRESH,6175.0,66.0,93.56060606060606
RICE RAWA 500g,3320.0,83.0,40.0
RIDGE GOURD,368571.19,6459.72,57.05683682884088
ROASTED CHANA 200G,500.0,10.0,50.0
ROASTED SALTED ALMOND  KGS FLYBERRY,174.9,0.11,1590.0
ROASTED SALTED PISTA KG FLYBERRY,27159.99,14.81,1833.8953409858204
ROMAIN LETTUCE KG ENGISH ITEM SAMBERRY,2468.75,9.71,254.2481977342945
ROSE FLOWER POOLU KG LOOSE,942.63,2.16,436.40277777777777
ROSE LONG BRINJAL,111942.42,1768.41,63.301168846591004
ROUND CHEKKALU 250g VELLANKI FOODS,160.0,1.0,160.0
RUBUSTA BANANA,204084.65,4378.63,46.609247641385544
RUMANI MANGO KG LOOSE,1788.97,20.04,89.26996007984033
Raw Forest Honey 1000g BT,5544.0,8.0,693.0
Raw Forest Honey 500g BT,8118.0,24.0,338.25
Raw Jamun Honey 1000g BT,3780.0,5.0,756.0
Raw Jamun Honey 500g BT,3168.0,8.0,396.0
Raw Neem Honey 1000g BT,3024.0,4.0,756.0
Raw Neem Honey 500g BT,3960.0,10.0,396.0
Raw Pappaya,1678.86,34.45,48.733236574746
Red Banana,23570.56,190.12,123.97727750894173
Royalaga Pack of 4,27061.0,182.0,148.6868131868132
SABJA SEEDS KG FLYBERRY,3184.2400000000002,6.0,530.7066666666667
SABUDANA 250g,4110.0,98.0,41.93877551020408
SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA,3240.0,6.0,540.0
SAMBAR ONION CHENNAI,846.72,8.82,96.0
SAMBAR PODI 100g VELLANKI FOODS,1392.0,23.0,60.52173913043478
SAMBAR  ONION,14163.039999999999,362.21999999999997,39.10065705924576
SANNAPOOSA 250g VELLANKI FOODS,20310.0,143.0,142.02797202797203
SAUNF 100gm EVR,225.0,5.0,45.0
SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,9450.0,18.0,525.0
SET CURD 1kg BUCKET MILKY MIST,24120.0,201.0,120.0
SET CURD 200g MILKY MIST,2178.0,66.0,33.0
SET CURD 400g MILKY MIST,4355.0,67.0,65.0
SHAH JEERA 50g,9960.0,119.0,83.69747899159664
SHRIKAND ELAICHI 100g MILKY MIST,630.0,14.0,45.0
SHRIKAND MANGO 100g MILKY MIST,855.0,19.0,45.0
SID FARMS MALAI PANEER 200g,47993.0,397.0,120.88916876574308
SIMLA APPLE,29255.1,142.4,205.44311797752806
SINGLE POLISH RICE 1Kg,3840.0,48.0,80.0
SINGLE POLISH RICE 5Kg,15405.0,39.0,395.0
SKYR YOGHURT 100g MILKYMIST,2280.0,38.0,60.0
SMALL AMLA,354.14,3.13,113.14376996805112
SMALL CAPSICUM,21541.67,250.42,86.02216276655219
SNAKE GOURD,30806.8,433.94,70.99322486979767
SOAN PATTI 250g VELLANKI FOODS,4245.0,24.0,176.875
SONA MASURI TELANGANA STEAM RICE 26KG GAJANAN,7750.0,5.0,1550.0
SOYA CHUNKS MEDIUM 200G EVR,6485.0,115.0,56.391304347826086
SOYA CHUNKS SMALL 200G EVR,5247.9,125.0,41.9832
SOYAKURA,1401.56,20.21,69.34982681840673
SPECIAL  LONG LIFE MILK 500ML HERITAGE,25423.0,747.0,34.0334672021419
SPECIAL LONG LIFE COW MILK 180ML HERITAGE,7878.39,634.0,12.426482649842272
SPECIALE COFFEE 200g JAR CONTINENTAL,749.0,1.0,749.0
SPICE ALMOND DRAGEE KG LOOSE FLYBERRY,373.83,0.17,2198.9999999999995
SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA,8430.0,281.0,30.0
SPICED TARO CHIPS 30g FLYBERRY GOURMET,99.0,1.0,99.0
SPICY ALOO CHIPS 100g VELLANKI FOODS,14325.0,227.0,63.1057268722467
