,,,,PURE O NATURAL,,,,,,
,,,,,,,,,,
,,,,Sales Report (Detail),,,,,,
,,,,,,,,,,
,,,,,,,,,,
03/10/2025,,,,From :  01/09/2025 To :  30/09/2025 [0007-ANJANEYA NAGER],,,,,,Page -1 of 1
,,,,,,,,,,
,SKU Code,PLU Code,SKU Description,Qty Sold ,Qty Ref ,SP,Tax Amt ,Surcharge,Net Sales ,Net Sales 
Date,,,,,,,,,Amount ,Amount 
,,,,,,,,,(Excl.Tax) ,(Incl.Tax) 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Location,0007-ANJANEYA NAGER,,,,,,,,,
Department,D001 - BEVERAGES,,,,,,,,,
,,,,,,,,,,
08/09/2025,3410,341001,XTRA SACHET 2.3G CONTINENTAL,24.00 ,0.00 ,2.00 ,7.32 ,0.00 ,40.68 ,48.00 
,,,,,,,,,,
09/09/2025,3410,341001,XTRA SACHET 2.3G CONTINENTAL,24.00 ,0.00 ,2.00 ,7.32 ,0.00 ,40.68 ,48.00 
,,,,,,,,,,
15/09/2025,3410,341001,XTRA SACHET 2.3G CONTINENTAL,48.00 ,0.00 ,2.00 ,14.64 ,0.00 ,81.36 ,96.00 
,,,,,,,,,,
16/09/2025,3410,341001,XTRA SACHET 2.3G CONTINENTAL,48.00 ,0.00 ,2.00 ,14.65 ,0.00 ,81.35 ,96.00 
,,,,,,,,,,
24/09/2025,3410,341001,XTRA SACHET 2.3G CONTINENTAL,24.00 ,0.00 ,2.00 ,2.29 ,0.00 ,45.71 ,48.00 
,,,,,,,,,,
28/09/2025,3410,341001,XTRA SACHET 2.3G CONTINENTAL,24.00 ,0.00 ,2.00 ,2.29 ,0.00 ,45.71 ,48.00 
,,,,,,,,,,
29/09/2025,3410,341001,XTRA SACHET 2.3G CONTINENTAL,24.00 ,0.00 ,2.00 ,2.29 ,0.00 ,45.71 ,48.00 
,,,,,,,,,,
01/09/2025,3412,341202,CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,1.00 ,0.00 ,165.00 ,25.17 ,0.00 ,139.83 ,165.00 
,,,,,,,,,,
16/09/2025,3412,341207,CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,1.00 ,0.00 ,180.00 ,27.46 ,0.00 ,152.54 ,180.00 
,,,,,,,,,,
20/09/2025,3412,341207,CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,3.00 ,0.00 ,7.90 ,3.61 ,0.00 ,20.08 ,23.70 
,,,,,,,,,,
05/09/2025,3413,341305,XTRA 50gm POUCH  CONTINENTAL,1.00 ,0.00 ,180.00 ,27.46 ,0.00 ,152.54 ,180.00 
,,,,,,,,,,
11/09/2025,3413,341305,XTRA 50gm POUCH  CONTINENTAL,2.00 ,0.00 ,180.00 ,54.92 ,0.00 ,305.08 ,360.00 
,,,,,,,,,,
14/09/2025,3413,341305,XTRA 50gm POUCH  CONTINENTAL,1.00 ,0.00 ,180.00 ,27.46 ,0.00 ,152.54 ,180.00 
,,,,,,,,,,
18/09/2025,3413,341305,XTRA 50gm POUCH  CONTINENTAL,1.00 ,0.00 ,180.00 ,27.46 ,0.00 ,152.54 ,180.00 
,,,,,,,,,,
22/09/2025,3413,341305,XTRA 50gm POUCH  CONTINENTAL,3.00 ,0.00 ,156.60 ,7.46 ,0.00 ,462.34 ,469.80 
,,,,,,,,,,
25/09/2025,3413,341305,XTRA 50gm POUCH  CONTINENTAL,1.00 ,0.00 ,180.00 ,8.57 ,0.00 ,171.43 ,180.00 
,,,,,,,,,,
28/09/2025,3413,341305,XTRA 50gm POUCH  CONTINENTAL,1.00 ,0.00 ,180.00 ,8.57 ,0.00 ,171.43 ,180.00 
,,,,,,,,,,
04/09/2025,3415,341508,XTRA 200g JAR CONTINENTAL,1.00 ,0.00 ,600.00 ,91.50 ,0.00 ,508.50 ,600.00 
,,,,,,,,,,
08/09/2025,3415,341508,XTRA 200g JAR CONTINENTAL,1.00 ,0.00 ,600.00 ,91.53 ,0.00 ,508.47 ,600.00 
,,,,,,,,,,
17/09/2025,3415,341508,XTRA 200g JAR CONTINENTAL,1.00 ,0.00 ,500.00 ,76.27 ,0.00 ,423.73 ,500.00 
,,,,,,,,,,
12/09/2025,3421,342106,MALGUDI COFFEE 200g 80 DEGREES CONTINENTAL,1.00 ,0.00 ,200.00 ,9.53 ,0.00 ,190.47 ,200.00 
,,,,,,,,,,
13/09/2025,3421,342106,MALGUDI COFFEE 200g 80 DEGREES CONTINENTAL,1.00 ,0.00 ,200.00 ,9.52 ,0.00 ,190.48 ,200.00 
,,,,,,,,,,
18/09/2025,3421,342106,MALGUDI COFFEE 200g 80 DEGREES CONTINENTAL,1.00 ,0.00 ,200.00 ,9.52 ,0.00 ,190.48 ,200.00 
,,,,,,,,,,
19/09/2025,3424,342405,MALGUDI COFFEE 200g 60 DEGREES CONTINENTAL,1.00 ,0.00 ,148.98 ,7.09 ,0.00 ,141.89 ,148.98 
,,,,,,,,,,
03/09/2025,3646,364606,FILTER COFFEE 150ML ID FRESH,1.00 ,0.00 ,160.00 ,24.41 ,0.00 ,135.59 ,160.00 
,,,,,,,,,,
